gameId,gameConfig,start,end,text,speaker,trial,role,echo,description
TDdHXhZK29W9z7d8H,game24,92.58,95.46,a black box you're going to be the guesser and you're going to help Smurphy,R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,95.46,100.38,guess does that sound good okay I'm going to ask you so if you have the black,R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,100.38,105.82,box and what do you do?,R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,100.38,105.82,Um tell,id70,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,100.38,105.82,Good job and if you don't what do you do?,R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,100.38,105.82,Um hold Smurphy,id71,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,105.82,107.94,"Yeah, you hold Smurphy and you guess.",R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,108.28,110.54,And you guys are going to switch off telling and guessing.,R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,111.18,115.18,"And if you get it right, you're going to have a smiley face.",R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,115.28,117.24,"And if you get it wrong, you're going to have a frowny face.",R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,117.3,120.82,"But that's okay because you're going to have many opportunities to play, okay?",R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,121.54,122.36,And help Smurphy.,R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,122.66,127.3,So we're going to start and you can press the blue button.,R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,130.46,131.98,"Good job, touching the blue button.",R,NA,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,132.1,133.7,"Okay, who has a black box?",R,0,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,133.7,141.2,Me.,id70,0,S,NA,NA
TDdHXhZK29W9z7d8H,game24,133.7,141.2,"[id70]. Okay, so now [id71] is going to hold Smurphy and [id70] you're going to say what you see in the black box.",R,0,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,141.86,147.04,I see a apple,id70,0,S,NA,An apple
TDdHXhZK29W9z7d8H,game24,141.86,147.04,"Okay, [id71] and you press what you think is in the black box.",R,0,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,152.1,163.68,Press it.,R,0,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,152.1,163.68,That's okay. Now we're going to switch. So now you're going to hold Smurphy and [id71] you're going to tell [id70] what you see in the black box.,R,1,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,163.68,170.4,box tell what you see,R,1,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,163.68,170.4,a dog,id71,1,S,NA,A dog
TDdHXhZK29W9z7d8H,game24,163.68,170.4,dog,id70,1,L,NA,NA
TDdHXhZK29W9z7d8H,game24,163.68,170.4,so touch the touch the one you think it is,R,1,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,170.4,180.48,Good job okay now you're gonna switch can [id70] tell us what you see in the black box,R,2,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,180.48,188.4,a house,id70,2,S,NA,A house
TDdHXhZK29W9z7d8H,game24,180.48,188.4,then how press touch what you think is in the black box that [id70]'s,R,2,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,188.4,193.2,using her words to describe,R,2,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,188.4,193.2,house,id71,2,L,NA,NA
TDdHXhZK29W9z7d8H,game24,188.4,193.2,touch it,R,2,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,193.2,199.44,"There you go. Okay, now you're going to switch. And [id71] is going to tell us what she sees in the black box.",R,3,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,193.2,199.44,I see a tree,id71,3,S,NA,A tree
TDdHXhZK29W9z7d8H,game24,201.44,205.6,Say it a little louder so [id70] can hear,R,3,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,205.6,206.4,I see a tree.,id71,3,S,NA,NA
TDdHXhZK29W9z7d8H,game24,208.24,210.96,"Good job. Okay, now you switch.",R,4,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,214.56,216.96,I see a human.,id70,4,S,NA,NA
TDdHXhZK29W9z7d8H,game24,221.6,223.04,Can you tell us a little bit more.,R,4,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,223.04,225.04,I see a human.,id70,4,S,NA,NA
TDdHXhZK29W9z7d8H,game24,228.04,232.04,And touch which one you think [id70] is talking about.,R,4,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,232.04,234.04,A human.,id70,4,S,NA,NA
TDdHXhZK29W9z7d8H,game24,234.04,238.04,Can you use more words to describe?,R,4,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,238.04,241.04,"Well, don't show her. You have to use your words.",R,4,NA,NA,"The human holding a rectangle, bending with one foot and a square head, like a kite"
TDdHXhZK29W9z7d8H,game24,241.04,252.04,"The human is holding a square, a rectangular, and he's bending, and then he has one foot, and there's one square head",id70,4,S,NA,NA
TDdHXhZK29W9z7d8H,game24,252.04,255.04,"Just make your best guess, [id71]",R,4,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,255.04,257.04,It's like a kite.,id70,4,S,NA,NA
TDdHXhZK29W9z7d8H,game24,257.04,260.04,That's a house joke.,id70,4,S,NA,NA
TDdHXhZK29W9z7d8H,game24,260.04,262.04,Touch it if you think that one's right,R,4,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,262.04,264.04,Good job!,R,5,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,264.04,265.04,Okay.,R,5,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,267.04,269.04,Now it's [id71]'s turn.,R,5,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,269.04,272.04,Tell us what's in the black box.,R,5,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,272.04,274.04,Tell us what you see.,R,5,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,272.04,274.04,Maybe a kite,id71,5,S,NA,A kite
TDdHXhZK29W9z7d8H,game24,274.04,275.04,Okay.,id70,5,L,NA,NA
TDdHXhZK29W9z7d8H,game24,275.04,288.04,Touch it if you think that's the right one.,R,5,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,288.04,289.04,Yay!,T,5,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,289.04,291.04,Good job!,R,6,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,291.04,295.04,"Okay, now you switch and now [id71] is going to guess and [id70]'s going to tell us.",R,6,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,295.04,300.04,It's a boat.,id70,6,S,NA,A boat
TDdHXhZK29W9z7d8H,game24,295.04,300.04,That boat,id71,6,L,NA,NA
TDdHXhZK29W9z7d8H,game24,300.04,302.04,Touch it.,R,6,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,302.04,308.04,"Remember [id71], if you think you know the right answer, you touch it, okay?",R,7,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,308.04,309.04,On the screen.,R,7,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,309.04,312.04,"Okay, now [id71]'s going to tell us what she sees.",R,7,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,312.04,315.04,A people.,id71,7,S,NA,A people
TDdHXhZK29W9z7d8H,game24,315.04,316.04,Yay!,T,7,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,316.04,318.04,Good job!,R,8,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,318.04,324.04,[id70]'s turn.,R,8,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,324.04,329.04,Tell us what's in the black box.,R,8,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,329.04,330.04,A human,id70,8,S,NA,A human
TDdHXhZK29W9z7d8H,game24,330.04,332.04,And then touch it if you think you know.,R,8,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,332.04,333.04,That's okay.,R,9,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,333.04,334.04,We'll try again,R,9,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,334.04,336.04,Now [id71] is going to tell us.,R,9,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,336.04,338.04,A boat.,id71,9,S,NA,A boat
TDdHXhZK29W9z7d8H,game24,354.04,357.04,It's a boat.,id71,9,S,NA,NA
TDdHXhZK29W9z7d8H,game24,357.04,359.04,Yay!,T,9,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,359.04,361.04,Good job!,R,10,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,361.04,364.04,Now [id70]'s turn.,R,10,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,364.04,369.04,Tell us what you see in the black box.,R,10,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,369.04,371.04,A human,id70,10,S,NA,A human
TDdHXhZK29W9z7d8H,game24,371.04,374.04,I touch this one,id71,10,L,NA,NA
TDdHXhZK29W9z7d8H,game24,374.04,378.04,Good job!,R,11,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,378.04,382.04,"Okay, keep going. Now it's [id71]'s turn.",R,11,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,382.04,391.04,[id71] tell [id70] what you see in the black box.,R,11,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,391.04,394.04,"Um, a kite",id71,11,S,NA,NA
TDdHXhZK29W9z7d8H,game24,394.04,396.04,Can you say it a little loud?,R,11,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,396.04,398.04,A kite.,id71,11,S,NA,A kite
TDdHXhZK29W9z7d8H,game24,398.04,400.04,Yay!,T,11,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,400.04,402.04,Good job!,R,12,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,402.04,404.04,Okay.,R,12,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,404.04,407.04,Now [id70]'s going to tell us.,R,12,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,407.04,410.04,It's a boat.,id70,12,S,NA,A boat
TDdHXhZK29W9z7d8H,game24,410.04,411.04,I think I pop those yeah,id71,12,L,NA,NA
TDdHXhZK29W9z7d8H,game24,411.04,428,touch it,R,12,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,411.04,428,good job okay okay now [id71]'s turn what do you see,R,13,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,411.04,428,I see a human. A human,id71,13,S,NA,A human
TDdHXhZK29W9z7d8H,game24,428,430,Good job. Keep going.,R,14,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,430,436,[id70] your turn to tell us.,R,14,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,436,442,It's a... a human.,id70,14,S,NA,A human
TDdHXhZK29W9z7d8H,game24,442,446,I have no human in mine.,id71,14,L,NA,NA
TDdHXhZK29W9z7d8H,game24,446,450,It's a kite.,id70,14,S,NA,A kite
TDdHXhZK29W9z7d8H,game24,446,450,I have a kite in mine,id71,14,L,NA,NA
TDdHXhZK29W9z7d8H,game24,450,452,Good job.,R,15,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,452,457,Now it's [id71]'s turn.,R,15,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,457,464,I see a human in the box.,id71,15,S,NA,A human
TDdHXhZK29W9z7d8H,game24,464,468,That's okay. We'll keep going.,R,16,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,468,472,Now it's your turn to tell us what's in the black box.,R,16,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,472,475,It's a human.,id70,16,S,NA,A human
TDdHXhZK29W9z7d8H,game24,472,475,I get it,id71,16,L,NA,NA
TDdHXhZK29W9z7d8H,game24,475,478,Yay!,R,17,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,478,484,"Okay. Now, [id71], what's in the black box?",R,17,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,484,491,Um A human holding a roof.,id71,17,S,NA,A human holding a roof
TDdHXhZK29W9z7d8H,game24,491,494,Good job.,R,18,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,494,505,"Now, [id71]'s going to help Smurphy gets, so [id70]'s going to tell us what's in the black box.",R,18,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,505,512,"What's in the black box, [id70]?",id71,18,L,NA,NA
TDdHXhZK29W9z7d8H,game24,512,515,"Yeah, tell us what's in the black box.",R,18,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,515,517,Just give me a little bit,id70,18,S,NA,NA
TDdHXhZK29W9z7d8H,game24,517,519,"Okay, that's okay.",R,18,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,519,521,Ship.,id70,18,S,NA,Ship
TDdHXhZK29W9z7d8H,game24,521,524,A ship.,id70,18,S,NA,NA
TDdHXhZK29W9z7d8H,game24,524,527,Touch it if you think that's the right one.,R,18,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,527,529,Great job.,R,19,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,529,530,I found it.,id71,19,S,NA,NA
TDdHXhZK29W9z7d8H,game24,530,532,"Yeah, keep it going.",R,19,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,532,535,Who has a black box?,R,19,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,532,535,Me,id71,19,S,NA,NA
TDdHXhZK29W9z7d8H,game24,535,536,[id71],R,19,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,536,539,So [id71] is going to tell us now what's in the black box?,R,19,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,539,540,A kite.,id71,19,S,NA,A kite
TDdHXhZK29W9z7d8H,game24,540,542,Yay!,T,19,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,542,543,Yay!,R,19,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,543,549,"Good job, friends, you guys finished!",R,19,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,549,552,Thank you so much for playing my game!,R,19,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,552,554,Smurphy says thank you.,R,19,NA,NA,NA
TDdHXhZK29W9z7d8H,game24,554,556,I want to do it again.,id70,19,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,0,2,"Awesome, now you're on camera.",R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,2,11.5,"So I'm going to explain my game to you, but before we do that, we do that, we're going to practice touching on the iPads, and we're going to play a fun bubble popping game.",R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,11.5,13.5,So you can press on the blue...,R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,13.5,14,This?,id73,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,14,16.5,"Yeah, the little blue square.",R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,16.5,20,"Awesome, and now you can practice touching and popping the bubbles.",R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,20,22,There you go.,R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,22,26,"Awesome, keep going.",R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,26,29,Do you see Smiley Face ones?,R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,29,31,There you go.,R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,31,35,Me mama.,id73,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,35,36,Mamma mia,id73,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,36,37,Yay!,R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,37,38,Yay I win!,id72,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,38,39,Awesome.,R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,39,42,"Okay, so do you see a picture of Smurphy now?",R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,42,43,Yeah.,id72,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,42,43,Yeah.,id73,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,43,46,"Okay, now I'm going to explain the game to you.",R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,46,49,"So, this is my friend Smurphy.",R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,49,50,And do you want to say hi?,R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,50,51,Hi.,id72,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,51,52,"Hi, [id72]",R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,52,53,Hi.,id73,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,52,53,"Hi, [id73].",id73,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,53,58.36,"Okay, so in this game, you're going to be shown two pictures on your screens, okay?",R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,59.56,64.08,So one of you guys will have a black box around one of your pictures.,R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,64.2,64.94,Do you see the black box?,R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,64.2,64.94,Yeah.,id72,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,65.58,72.46,"So if you have the black box, your job is to help my friend Smurphy by telling him what you see in the black box.",R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,73.56,77.74,"If you don't have the black box like this, you have two pictures but no black box,",R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,77.74,84.48,Then that means you're going to be holding Smurphy and you're going to help Smurphy guess what is in the black box on the other person's screen,R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,85.6,88.74,"Does that make sense? So if you have the black box, what are you going to do?",R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,88.74,93.74,Tell Smurphy what's inside.,id73,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,93.74,96.74,"You're going to tell him with your words, you're going to tell him.",R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,96.74,98.74,"And then if you don't have it, you're going to...",R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,98.74,99.74,Get.,id72,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,99.74,100.74,"Good job, you're going to guess.",R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,100.74,101.74,Guess.,id72,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,101.74,104.74,"Okay. You guys are going to take turns telling and guessing, and if you get it right...",R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,104.74,106.74,"No, he has a guess.",id72,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,106.74,108.74,"Well, yeah, but you're going to help him guess.",R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,108.74,109.74,Okay.,id72,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,109.74,112.16,"If you get it right, you're going to have a smiley face.",R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,112.26,114.28,"And if you don't, you're going to have a frowny face, but that's okay",R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,114.28,116.28,cause you're going to have many more chances to help Smurphy.,R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,116.86,117.52,Does that sound good?,R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,117.68,117.8,Yeah.,id72,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,117.92,118.58,Are you ready to play?,R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,118.98,119.22,Yeah.,id73,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,119.4,119.72,Okay.,R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,120.98,123.68,Now you can touch the blue box.,R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,124.44,125.08,There you go.,R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,125.66,126.18,Lobby.,id73,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,126.62,127.02,Awesome.,R,NA,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,127.42,128.66,Who has the black box?,R,0,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,128.76,128.96,Me.,id73,0,S,NA,NA
R83tnLDcgGTD3F4SR,game25,129.5,129.78,Okay.,R,0,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,129.78,134.56,"Okay, so you're going to hold Smurphy, [id72], and [id73]'s going to tell us what he sees in the black box.",R,0,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,129.78,134.56,a apple,id73,0,S,NA,a apple
R83tnLDcgGTD3F4SR,game25,135.28,141.72,"Okay, and [id72] is going to help Smurphy guess what's in the black box by touching it.",R,0,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,135.28,141.72,the banana?,id72,0,L,NA,the banana
R83tnLDcgGTD3F4SR,game25,142.16,150.44,"Okay, it's okay, we can switch, so now [id73]'s going to guess.",R,1,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,150.6,158.38,"You have to guess, but [id72] is going to tell us what's in the black box, and [id73] you have to guess what's in the black box, okay?",R,1,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,158.38,160.62,A dog?,id72,1,S,NA,a dog
R83tnLDcgGTD3F4SR,game25,160.62,163.98,So touch the one that you think [id72]'s describing.,R,1,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,169.02,170.22,It's a dog.,id72,1,S,NA,a dog
R83tnLDcgGTD3F4SR,game25,170.86,171.98,"That's okay, we'll keep going.",R,1,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,172.62,173.66,How does he know?,id73,1,L,NA,NA
R83tnLDcgGTD3F4SR,game25,174.62,177.42,So tell [id72] what you see in the black box.,R,2,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,177.42,178.3,A house.,id73,2,S,NA,a house
R83tnLDcgGTD3F4SR,game25,177.42,178.3,house.,id72,2,L,NA,house
R83tnLDcgGTD3F4SR,game25,180.22,181.9,Is it smiley face or happy?,id73,2,S,NA,NA
R83tnLDcgGTD3F4SR,game25,183.66,186.7,There you go. There you go. You guys got it now.,R,2,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,186.7,190.3,"Okay, so now [id72]'s going to tell us what's in the black box.",R,3,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,190.3,192.02,What is his name?,id72,3,S,NA,NA
R83tnLDcgGTD3F4SR,game25,192.02,193.02,You use your words.,R,3,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,193.02,194.02,The duck?,id72,3,S,NA,the duck
R83tnLDcgGTD3F4SR,game25,194.02,196.02,Good job!,R,3,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,196.02,197.02,Okay.,R,3,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,197.02,199.22,Now [id73]'s turn.,R,4,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,199.22,203.82,"No, use your words.",R,4,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,203.82,206.36,And what is that?,id73,4,S,NA,NA
R83tnLDcgGTD3F4SR,game25,206.36,208.62,What do you think it is?,R,4,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,208.62,209.62,I have no idea.,id73,4,S,NA,NA
R83tnLDcgGTD3F4SR,game25,209.62,210.62,That's okay.,R,4,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,210.62,211.62,Make your best guess.,R,4,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,211.62,212.62,Tell us what you see.,R,4,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,212.62,216.62,What is this?,id73,4,S,NA,NA
R83tnLDcgGTD3F4SR,game25,216.62,217.62,Island.,id72,4,L,NA,island
R83tnLDcgGTD3F4SR,game25,217.62,222.62,Tell us what you think it is.,R,4,NA,NA,NA
R83tnLDcgGTD3F4SR,game25,222.62,224.62,It's a island,id72,4,L,NA,a island
R83tnLDcgGTD3F4SR,game25,224.62,226.62,A guitar. Ha!,id73,4,S,NA,a guitar
R83tnLDcgGTD3F4SR,game25,226.62,227.62,Ha!,id72,4,L,NA,NA
