start,end,text,speaker,trial,role,echo,description,on_topic
139000,142000,And it looks like you are going to be the guesser first.,M,,,,,
142000,144000,So you are going to have Smurphy first.,M,,,,,
144000,147000,"All right, my friend. So what do you see in this black box?",M,,,,,
147000,151000,Banana.,id9,,S,,banana,Y
151000,152000,Great.,M,,,,,
152000,153000,Great job.,M,,,,,
153000,155000,So that was a match.,M,1,,,,
155000,158000,So now you have Smurphy and you will be in charge of guessing.,I,,,,,
158000,161000,"Okay. What do you see, [id10], in the black box?",I,,,,,
161000,165000,Apple,id10,,S,,apple,Y
165000,166000,Apple,I,,,Y,,
166000,167000,"All right, [id9].",M,,,,,
167000,169000,Go ahead and make your guess.,M,,,,,
169000,170000,Great job.,M,2,,,,
170000,172000,Now we are going to pass Smurphy back over.,M,,,,,
172000,174000,Come right over here.,M,,,,,
174000,175000,There you are.,M,,,,,
175000,177000,I don't know what shape this is.,id9,,S,,,Y
177000,178000,I know.,M,,,,,
178000,179000,That looks dark.,M,,,,,
179000,181000,"They look kind of silly, huh?",M,,,,,
181000,183000,But you're just going to tell her whatever you see.,M,,,,,
183000,186000,Let's listen to [id9] very carefully.,I,,,,,
186000,187000,Okay.,I,,,,,
187000,190000,What do we see in the black box?,I,,,,,
190000,197360,"We know they look kind of silly, but you're just going to say whatever you think it kind",M,,,,,
197360,198360,of looks like.,M,,,,,
198360,199360,It kind of looks like a boat.,id9,,S,,a boat,Y
199360,200360,Oh.,M,,,,,
200360,201360,It kind of looks like a boat.,id9,,S,,,Y
201360,202360,Because this is the part that you stand on.,id9,,S,,this is the part that you stand on,Y
202360,203360,"Oh, interesting.",M,,,,,
203360,204360,"Now which one looks like a boat to you, [id10]?",I,,,,,
204360,205360,This one.,I,,,,,
205360,206360,Should we press it?,I,,,,,
206360,207360,"If that's your guess, go ahead and press it.",M,,,,,
207360,208360,Okay.,I,,,,,
208360,226040,Do you think that's a boat?,I,,,,,
226040,227040,No.,I,,,,,
227040,229040,Do you want to give a little more descriptions?,I,,,,,
229040,236040,Do you want to tell [id10] a little bit more about what you see?,I,,,,,
236040,243040,"You have a triangle boat here, and a square, and a triangle that's on the boat, and a little",id9,,S,,a triangle boat here and a square and a triangle that’s on the boat and a little triangle piece coming out,Y
243040,246040,triangle piece coming out.,id9,,S,,,Y
246040,254040,Which one do you think it is?,M,,,,,
254040,257040,"Smurf, you really want to guess.",M,,,,,
257040,260040,I want to guess.,id10,,L,,,
260040,264040,"Let's help him guess together, huh?",I,,,,,
264040,274040,Which one do you think it would be?,I,,,,,
274040,275040,Let's just pick one.,I,,,,,
275040,285040,Which one do you think is the one that [id9] is telling you about?,I,,,,,
285040,286040,I don't know.,id10,,L,,,Y
286040,287040,We don't know.,I,,,,,
287040,290040,Do you want to learn a little bit more about what it looks like?,I,,,,,
290040,293040,This is all I can tell.,id9,,S,,,Y
293040,297040,"So she said it looks like a boat, and there's some triangles that go like this.",I,,,,,
297040,298040,I don't know.,id10,,L,,,Y
298040,299040,Should we press it?,I,,,,,
299040,300040,Let's press it.,I,,,,,
300040,301040,Maybe.,id10,,L,,,
301040,302040,It's okay.,I,,,,,
302040,303040,It's whichever one you think.,I,,,,,
303040,304040,Yeah.,I,,,,,
304040,305040,"And if it's wrong, that's okay.",I,,,,,
305040,306040,We can try again next time.,I,,,,,
306040,307040,Yeah.,I,,,,,
307040,308040,So it's okay.,I,,,,,
308040,309040,Let's press the one that you think it is.,I,,,,,
309040,310040,Great job.,I,3,,,,
310040,324040,Now we're going to pass Smurfy on .,I,,,,,
324040,325040,Great job helping Smurfie.,I,,,,,
325040,326040,All right.,I,,,,,
326040,328040,How does that look like?,I,,,,,
328040,329040,That's silly.,id10,,S,,,
329040,336040,"When I press this one, it turns into this one.",id10,,S,,,
336040,338040,"That is so silly, right?",I,,,,,
338040,341040,What do we see in the black box now?,I,,,,,
341040,342040,This.,id10,,S,,,
342040,344040,This is silly stuff.,id10,,S,,,
344040,346040,This is silly stuff.,I,,,,,
346040,350040,So how would you tell [id9] which one to guess?,M,,,,,
350040,351040,[id9].,id10,,S,,,
351040,352040,I will show you the which one.,id10,,S,,,
352040,354040,"Oh, my friend, we want to sit down.",M,,,,,
354040,357040,Because we just want to tell so they can guess.,M,,,,,
357040,358040,Yeah.,M,,,,,
358040,362040,So you want to tell her what's in the black box so she can guess.,I,,,,,
362040,363040,[id9].,id10,,S,,,
363040,365040,Pay attention.,id10,,S,,,
365040,366040,She is.,M,,,,,
366040,368040,She is going to pay attention.,I,,,,,
368040,369040,[id9].,id10,,S,,,
369040,370040,[id9].,id10,,S,,,
370040,371040,Yes.,id9,,L,,,
371040,372040,[id9].,id10,,S,,,
372040,383040,The one in a boat is a boat.,id10,,S,,a boat,Y
383040,385040,I think I see it.,id9,,L,,,Y
385040,390040,Do you want to tap it so you can guess?,M,,,,,
390040,392040,Try again.,M,,,,,
392040,393040,It's okay.,M,,,,,
393040,395040,"Oh, that's okay.",M,,,,,
395040,396040,All right.,M,,,,,
396040,398040,We are going to pass it back to our friend.,I,4,,,,
398040,399040,There you are.,I,,,,,
399040,400040,Okay.,I,,,,,
400040,401040,Your turn to help [id9] guess.,I,,,,,
401040,402040,All right.,I,,,,,
402040,403040,[id9].,I,,,,,
403040,404040,What do you see in the box?,I,,,,,
404040,406040,A rocket ship.,id9,,S,,a rocket ship,Y
406040,408040,A rocket ship.,I,,,,,
408040,411040,I don't see any in mine.,id10,,L,,,Y
411040,413040,She doesn't see a rocket ship.,I,,,,,
413040,414040,Do you want to tell her?,I,,,,,
414040,418040,It's kind of looking like it has feet and it's walking.,id9,,S,,it has feet and it’s walking,Y
418040,421040,And it has a square on its head.,id9,,S,,it has a square on it’s head,Y
421040,424040,She's looking down.,id10,,L,,,Y
424040,428040,"She's asking you, is the person looking down?",I,,,,,
428040,429040,Yes.,id9,,S,,,Y
429040,432040,Which one do you think it is?,I,,,,,
432040,433040,Great job.,I,,,,,
433040,436040,Do you want to give Smurphy to me?,I,5,,,,
436040,437040,Thank you.,I,,,,,
437040,438040,Here you go.,I,,,,,
438040,441040,Let's describe what we see in the black box.,I,,,,,
441040,446040,He's holding a square looking up.,id10,,S,,he’s holding a square looking up,Y
446040,451040,He's holding something with a square looking up.,I,,,,,
451040,454040,What do you think it is?,I,,,,,
454040,456040,This one.,id9,,L,,,Y
456040,458040,Let's make the guess.,I,,,,,
458040,459040,This one?,id9,,L,,,Y
459040,461040,Is that the one you want to guess?,M,,,,,
461040,462040,Great.,M,,,,,
462040,463040,Great job.,M,6,,,,
463040,466040,"Whatever you want to guess, just go ahead and top it.",M,,,,,
466040,468040,There you are.,M,,,,,
468040,471040,Here you go.,M,,,,,
471040,473040,Now what do we see [id9]?,I,,,,,
473040,478040,I see a mon-,id9,,S,,,Y
478040,482040,Something that looks like a monster eating a square.,id9,,S,,a monster eating a square,Y
482040,484040,Oh.,I,,,,,
484040,490040,Do you think it's out of your guess?,I,,,,,
490040,492040,"Whatever you're ready, just top it.",I,,,,,
492040,494040,You can make the guess.,I,,,,,
494040,496040,"Yeah, obviously.", ,,,,,
496040,498040,Does that hurt anybody when you smile?, ,,,,,
498040,499040,Yeah., ,,,,,
499040,500040,"Oh, I'm sorry.", ,,,,,
500040,502040,I'm so sorry., ,,,,,
502040,505040,I'm so sorry., ,,,,,
505040,512040,Yeah., ,,,,,
512040,515040,She said it looks like a monster.,M,,,,,
515040,516040,Ready?,M,,,,,
516040,520040,You said eating something?,M,,,,,
520040,522040,Great job.,I,7,,,,
522040,524040,Thank you for helping Smurphy.,I,,,,,
524040,526040,I'll get Smurphy from you now.,I,,,,,
526040,528040,Here you go.,I,,,,,
528040,530040,I don't want to play it anymore.,id10,,,,,
530040,531040,You want to play it more?,I,,,,,
531040,532040,No.,id10,,,,,
532040,534040,"Oh, you don't want to play it anymore?",I,,,,,
534040,535040,Okay.,I,,s,,,
535040,536040,You want to go back to class?,I,,,,,
536040,537040,Yeah.,id10,,,,,
537040,538040,All right.,I,,,,,
538040,539040,My friends want to go back to class.,I,,,,,
539040,540040,Yeah.,I,,,,,
540040,544040,"We want our friends to go back to class, so we want to make sure our friends are always",I,,,,,
544040,545040,comfortable.,I,,,,,
545040,547040,But we can play something when you're back in the classroom.,M,,,,,
547040,548040,Does that sound good?,M,,,,,
548040,549040,Yeah.,M,,,,,
549040,550040,Great.,M,,,,,
550040,551040,All right.,M,,,,,
551040,552040,I'm going to go turn off the camera.,M,,,,,
552040,554040,Do you guys want to wave goodbye?,M,,,,,
554040,564040,All right.,M,,,,,
