target,distractor,trialNum,targetNum,repNum,response,correct,time,listener,speaker,gameId,game
bunny,dancer,12,0,2,bunny,true,28782,id157,id158,uCwEzJArNkeqC8DPM,game10
baby,zombie,13,1,2,zombie,false,28418,id158,id157,uCwEzJArNkeqC8DPM,game10
zombie,bunny,14,2,2,zombie,true,31375,id157,id158,uCwEzJArNkeqC8DPM,game10
dancer,zombie,15,3,2,dancer,true,40239,id158,id157,uCwEzJArNkeqC8DPM,game10
bunny,baby,16,0,3,bunny,true,30258,id157,id158,uCwEzJArNkeqC8DPM,game10
baby,bunny,17,1,3,bunny,false,51498,id158,id157,uCwEzJArNkeqC8DPM,game10
dancer,zombie,18,2,3,zombie,false,21141,id157,id158,uCwEzJArNkeqC8DPM,game10
zombie,bunny,19,3,3,zombie,true,41048,id158,id157,uCwEzJArNkeqC8DPM,game10
banana,apple,0,0,NA,banana,true,14185,id160,id159,qKvDzndtLRHdnA93s,game11
bird,dog,1,1,NA,bird,true,6148,id159,id160,qKvDzndtLRHdnA93s,game11
star,lemon,2,2,NA,star,true,6763,id160,id159,qKvDzndtLRHdnA93s,game11
crown,pinwheel,3,3,NA,crown,true,30509,id159,id160,qKvDzndtLRHdnA93s,game11
bunny,baby,4,0,0,bunny,true,14712,id160,id159,qKvDzndtLRHdnA93s,game11
dancer,baby,5,1,0,dancer,true,20456,id159,id160,qKvDzndtLRHdnA93s,game11
baby,zombie,6,2,0,zombie,false,29283,id160,id159,qKvDzndtLRHdnA93s,game11
zombie,bunny,7,3,0,zombie,true,16099,id159,id160,qKvDzndtLRHdnA93s,game11
dancer,zombie,8,0,1,dancer,true,13336,id160,id159,qKvDzndtLRHdnA93s,game11
baby,zombie,9,1,1,baby,true,45750,id159,id160,qKvDzndtLRHdnA93s,game11
bunny,zombie,10,2,1,bunny,true,12764,id160,id159,qKvDzndtLRHdnA93s,game11
zombie,baby,11,3,1,baby,false,8693,id159,id160,qKvDzndtLRHdnA93s,game11
dancer,zombie,12,0,2,dancer,true,11513,id160,id159,qKvDzndtLRHdnA93s,game11
bunny,zombie,13,1,2,bunny,true,26347,id159,id160,qKvDzndtLRHdnA93s,game11
zombie,bunny,14,2,2,zombie,true,8221,id160,id159,qKvDzndtLRHdnA93s,game11
baby,bunny,15,3,2,bunny,false,9115,id159,id160,qKvDzndtLRHdnA93s,game11
baby,dancer,16,0,3,baby,true,28747,id160,id159,qKvDzndtLRHdnA93s,game11
dancer,baby,17,1,3,dancer,true,13541,id159,id160,qKvDzndtLRHdnA93s,game11
bunny,zombie,18,2,3,bunny,true,14382,id160,id159,qKvDzndtLRHdnA93s,game11
zombie,dancer,19,3,3,zombie,true,13631,id159,id160,qKvDzndtLRHdnA93s,game11
banana,apple,0,0,NA,banana,true,18200,id162,id161,zSNrxaAjN8X8xcMGQ,game12
dog,bird,1,1,NA,dog,true,10034,id161,id162,zSNrxaAjN8X8xcMGQ,game12
lemon,star,2,2,NA,lemon,true,70418,id162,id161,zSNrxaAjN8X8xcMGQ,game12
crown,pinwheel,3,3,NA,crown,true,10048,id161,id162,zSNrxaAjN8X8xcMGQ,game12
dancer,bunny,4,0,0,NA,false,NA,id162,id161,zSNrxaAjN8X8xcMGQ,game12
baby,zombie,5,1,0,zombie,false,27884,id161,id162,zSNrxaAjN8X8xcMGQ,game12
bunny,baby,6,2,0,bunny,true,106774,id162,id161,zSNrxaAjN8X8xcMGQ,game12
zombie,dancer,7,3,0,dancer,false,7350,id161,id162,zSNrxaAjN8X8xcMGQ,game12
zombie,bunny,8,0,1,zombie,true,23015,id162,id161,zSNrxaAjN8X8xcMGQ,game12
dancer,baby,9,1,1,dancer,true,15382,id161,id162,zSNrxaAjN8X8xcMGQ,game12
bunny,zombie,10,2,1,bunny,true,9735,id162,id161,zSNrxaAjN8X8xcMGQ,game12
baby,zombie,11,3,1,baby,true,17288,id161,id162,zSNrxaAjN8X8xcMGQ,game12
bunny,baby,12,0,2,bunny,true,12815,id162,id161,zSNrxaAjN8X8xcMGQ,game12
baby,bunny,13,1,2,bunny,false,27185,id161,id162,zSNrxaAjN8X8xcMGQ,game12
dancer,baby,14,2,2,dancer,true,37395,id162,id161,zSNrxaAjN8X8xcMGQ,game12
zombie,bunny,15,3,2,bunny,false,25186,id161,id162,zSNrxaAjN8X8xcMGQ,game12
bunny,baby,16,0,3,bunny,true,20761,id162,id161,zSNrxaAjN8X8xcMGQ,game12
zombie,dancer,17,1,3,dancer,false,13876,id161,id162,zSNrxaAjN8X8xcMGQ,game12
baby,zombie,18,2,3,zombie,false,14133,id162,id161,zSNrxaAjN8X8xcMGQ,game12
dancer,baby,19,3,3,baby,false,17545,id161,id162,zSNrxaAjN8X8xcMGQ,game12
apple,banana,0,0,NA,apple,true,18796,id163,id164,pEEsoPMSiuSnJmZ5H,game13
bird,dog,1,1,NA,bird,true,23800,id164,id163,pEEsoPMSiuSnJmZ5H,game13
lemon,star,2,2,NA,lemon,true,22207,id163,id164,pEEsoPMSiuSnJmZ5H,game13
crown,pinwheel,3,3,NA,pinwheel,false,22752,id164,id163,pEEsoPMSiuSnJmZ5H,game13
bunny,baby,4,0,0,bunny,true,20874,id163,id164,pEEsoPMSiuSnJmZ5H,game13
dancer,baby,5,1,0,dancer,true,51104,id164,id163,pEEsoPMSiuSnJmZ5H,game13
zombie,baby,6,2,0,zombie,true,10015,id163,id164,pEEsoPMSiuSnJmZ5H,game13
baby,bunny,7,3,0,bunny,false,42558,id164,id163,pEEsoPMSiuSnJmZ5H,game13
dancer,bunny,8,0,1,bunny,false,10044,id163,id164,pEEsoPMSiuSnJmZ5H,game13
zombie,baby,9,1,1,zombie,true,4786,id164,id163,pEEsoPMSiuSnJmZ5H,game13
bunny,zombie,10,2,1,bunny,true,13660,id163,id164,pEEsoPMSiuSnJmZ5H,game13
baby,bunny,11,3,1,bunny,false,29691,id164,id163,pEEsoPMSiuSnJmZ5H,game13
bunny,baby,12,0,2,bunny,true,50489,id163,id164,pEEsoPMSiuSnJmZ5H,game13
baby,bunny,13,1,2,bunny,false,23902,id164,id163,pEEsoPMSiuSnJmZ5H,game13
zombie,baby,14,2,2,zombie,true,12606,id163,id164,pEEsoPMSiuSnJmZ5H,game13
dancer,baby,15,3,2,baby,false,25451,id164,id163,pEEsoPMSiuSnJmZ5H,game13
zombie,dancer,16,0,3,dancer,false,26753,id163,id164,pEEsoPMSiuSnJmZ5H,game13
dancer,baby,17,1,3,baby,false,11146,id164,id163,pEEsoPMSiuSnJmZ5H,game13
bunny,zombie,18,2,3,bunny,true,21254,id163,id164,pEEsoPMSiuSnJmZ5H,game13
baby,bunny,19,3,3,baby,true,31620,id164,id163,pEEsoPMSiuSnJmZ5H,game13
banana,apple,0,0,NA,banana,true,23961,id165,id166,hwtLvim5zdhScLEg4,game18
bird,dog,1,1,NA,bird,true,16295,id166,id165,hwtLvim5zdhScLEg4,game18
lemon,star,2,2,NA,lemon,true,19684,id165,id166,hwtLvim5zdhScLEg4,game18
crown,pinwheel,3,3,NA,crown,true,17648,id166,id165,hwtLvim5zdhScLEg4,game18
zombie,baby,4,0,0,zombie,true,15670,id165,id166,hwtLvim5zdhScLEg4,game18
dancer,baby,5,1,0,dancer,true,11649,id166,id165,hwtLvim5zdhScLEg4,game18
baby,zombie,6,2,0,baby,true,14783,id165,id166,hwtLvim5zdhScLEg4,game18
bunny,baby,7,3,0,bunny,true,14742,id166,id165,hwtLvim5zdhScLEg4,game18
dancer,zombie,8,0,1,zombie,false,14139,id165,id166,hwtLvim5zdhScLEg4,game18
zombie,bunny,9,1,1,zombie,true,20716,id166,id165,hwtLvim5zdhScLEg4,game18
bunny,baby,10,2,1,baby,false,67116,id165,id166,hwtLvim5zdhScLEg4,game18
baby,zombie,11,3,1,zombie,false,16650,id166,id165,hwtLvim5zdhScLEg4,game18
dancer,baby,12,0,2,baby,false,22183,id165,id166,hwtLvim5zdhScLEg4,game18
baby,zombie,13,1,2,baby,true,15771,id166,id165,hwtLvim5zdhScLEg4,game18
bunny,zombie,14,2,2,zombie,false,16911,id165,id166,hwtLvim5zdhScLEg4,game18
zombie,baby,15,3,2,zombie,true,12222,id166,id165,hwtLvim5zdhScLEg4,game18
bunny,dancer,16,0,3,bunny,true,23094,id165,id166,hwtLvim5zdhScLEg4,game18
baby,bunny,17,1,3,baby,true,16054,id166,id165,hwtLvim5zdhScLEg4,game18
dancer,bunny,18,2,3,dancer,true,18555,id165,id166,hwtLvim5zdhScLEg4,game18
zombie,dancer,19,3,3,zombie,true,17742,id166,id165,hwtLvim5zdhScLEg4,game18
apple,banana,0,0,NA,apple,true,63087,id168,id167,wL7EjQmFuYxmHo6Ws,game24
bird,dog,1,1,NA,dog,false,23876,id167,id168,wL7EjQmFuYxmHo6Ws,game24
star,lemon,2,2,NA,star,true,29123,id168,id167,wL7EjQmFuYxmHo6Ws,game24
pinwheel,crown,3,3,NA,pinwheel,true,59407,id167,id168,wL7EjQmFuYxmHo6Ws,game24
zombie,bunny,4,0,0,zombie,true,12134,id168,id167,wL7EjQmFuYxmHo6Ws,game24
baby,bunny,5,1,0,baby,true,22550,id167,id168,wL7EjQmFuYxmHo6Ws,game24
dancer,bunny,6,2,0,bunny,false,30950,id168,id167,wL7EjQmFuYxmHo6Ws,game24
bunny,baby,7,3,0,baby,false,29761,id167,id168,wL7EjQmFuYxmHo6Ws,game24
baby,dancer,8,0,1,dancer,false,17217,id168,id167,wL7EjQmFuYxmHo6Ws,game24
bunny,zombie,9,1,1,zombie,false,36272,id167,id168,wL7EjQmFuYxmHo6Ws,game24
dancer,baby,10,2,1,dancer,true,14279,id168,id167,wL7EjQmFuYxmHo6Ws,game24
zombie,bunny,11,3,1,zombie,true,20453,id167,id168,wL7EjQmFuYxmHo6Ws,game24
baby,zombie,12,0,2,baby,true,14015,id168,id167,wL7EjQmFuYxmHo6Ws,game24
dancer,zombie,13,1,2,dancer,true,22130,id167,id168,wL7EjQmFuYxmHo6Ws,game24
bunny,zombie,14,2,2,bunny,true,15847,id168,id167,wL7EjQmFuYxmHo6Ws,game24
zombie,bunny,15,3,2,bunny,false,15485,id167,id168,wL7EjQmFuYxmHo6Ws,game24
bunny,dancer,16,0,3,bunny,true,9425,id168,id167,wL7EjQmFuYxmHo6Ws,game24
baby,dancer,17,1,3,baby,true,11194,id167,id168,wL7EjQmFuYxmHo6Ws,game24
dancer,zombie,18,2,3,dancer,true,18173,id168,id167,wL7EjQmFuYxmHo6Ws,game24
zombie,dancer,19,3,3,dancer,false,16279,id167,id168,wL7EjQmFuYxmHo6Ws,game24
apple,banana,0,0,NA,apple,true,18331,id170,id169,uw4Hv2cS5RgAxMQPS,game25
dog,bird,1,1,NA,bird,false,50024,id169,id170,uw4Hv2cS5RgAxMQPS,game25
star,lemon,2,2,NA,lemon,false,15162,id170,id169,uw4Hv2cS5RgAxMQPS,game25
crown,pinwheel,3,3,NA,pinwheel,false,155101,id169,id170,uw4Hv2cS5RgAxMQPS,game25
zombie,dancer,4,0,0,dancer,false,48477,id170,id169,uw4Hv2cS5RgAxMQPS,game25
dancer,bunny,5,1,0,dancer,true,96140,id169,id170,uw4Hv2cS5RgAxMQPS,game25
baby,bunny,6,2,0,baby,true,34400,id170,id169,uw4Hv2cS5RgAxMQPS,game25
bunny,zombie,7,3,0,zombie,false,114042,id169,id170,uw4Hv2cS5RgAxMQPS,game25
bunny,dancer,8,0,1,bunny,true,81056,id170,id169,uw4Hv2cS5RgAxMQPS,game25
dancer,baby,9,1,1,baby,false,120789,id169,id170,uw4Hv2cS5RgAxMQPS,game25
baby,zombie,10,2,1,zombie,false,52676,id170,id169,uw4Hv2cS5RgAxMQPS,game25
zombie,bunny,11,3,1,zombie,true,77896,id169,id170,uw4Hv2cS5RgAxMQPS,game25
dancer,baby,12,0,2,dancer,true,33268,id170,id169,uw4Hv2cS5RgAxMQPS,game25
zombie,baby,13,1,2,zombie,true,37177,id169,id170,uw4Hv2cS5RgAxMQPS,game25
baby,zombie,14,2,2,baby,true,34477,id170,id169,uw4Hv2cS5RgAxMQPS,game25
bunny,zombie,15,3,2,zombie,false,16050,id169,id170,uw4Hv2cS5RgAxMQPS,game25
bunny,dancer,16,0,3,bunny,true,25421,id170,id169,uw4Hv2cS5RgAxMQPS,game25
baby,bunny,17,1,3,baby,true,27417,id169,id170,uw4Hv2cS5RgAxMQPS,game25
dancer,bunny,18,2,3,bunny,false,16626,id170,id169,uw4Hv2cS5RgAxMQPS,game25
zombie,baby,19,3,3,zombie,true,22223,id169,id170,uw4Hv2cS5RgAxMQPS,game25
banana,apple,0,0,NA,banana,true,89373,id171,id172,DRHtzr7ykXWJA4nFR,game26
bird,dog,1,1,NA,bird,true,3677,id172,id171,DRHtzr7ykXWJA4nFR,game26
star,lemon,2,2,NA,star,true,34076,id171,id172,DRHtzr7ykXWJA4nFR,game26
crown,pinwheel,3,3,NA,crown,true,15878,id172,id171,DRHtzr7ykXWJA4nFR,game26
bunny,dancer,4,0,0,bunny,true,11917,id171,id172,DRHtzr7ykXWJA4nFR,game26
dancer,zombie,5,1,0,dancer,true,7649,id172,id171,DRHtzr7ykXWJA4nFR,game26
baby,zombie,6,2,0,zombie,false,18994,id171,id172,DRHtzr7ykXWJA4nFR,game26
zombie,bunny,7,3,0,bunny,false,1607,id172,id171,DRHtzr7ykXWJA4nFR,game26
zombie,dancer,8,0,1,dancer,false,920,id171,id172,DRHtzr7ykXWJA4nFR,game26
bunny,dancer,9,1,1,bunny,true,1473,id172,id171,DRHtzr7ykXWJA4nFR,game26
baby,dancer,10,2,1,baby,true,17322,id171,id172,DRHtzr7ykXWJA4nFR,game26
dancer,bunny,11,3,1,bunny,false,14611,id172,id171,DRHtzr7ykXWJA4nFR,game26
baby,dancer,12,0,2,dancer,false,31906,id171,id172,DRHtzr7ykXWJA4nFR,game26
dancer,bunny,13,1,2,dancer,true,2224,id172,id171,DRHtzr7ykXWJA4nFR,game26
bunny,dancer,14,2,2,dancer,false,32959,id171,id172,DRHtzr7ykXWJA4nFR,game26
zombie,baby,15,3,2,zombie,true,1413,id172,id171,DRHtzr7ykXWJA4nFR,game26
dancer,baby,16,0,3,dancer,true,60763,id171,id172,DRHtzr7ykXWJA4nFR,game26
zombie,baby,17,1,3,baby,false,2654,id172,id171,DRHtzr7ykXWJA4nFR,game26
bunny,zombie,18,2,3,zombie,false,2696,id171,id172,DRHtzr7ykXWJA4nFR,game26
baby,dancer,19,3,3,NA,false,NA,id172,id171,DRHtzr7ykXWJA4nFR,game26
banana,apple,0,0,NA,banana,true,21841,id173,id174,bQQdJ8kC5uKYc7xbb,game27
dog,bird,1,1,NA,dog,true,18722,id174,id173,bQQdJ8kC5uKYc7xbb,game27
star,lemon,2,2,NA,star,true,10914,id173,id174,bQQdJ8kC5uKYc7xbb,game27
crown,pinwheel,3,3,NA,pinwheel,false,90492,id174,id173,bQQdJ8kC5uKYc7xbb,game27
baby,dancer,4,0,0,baby,true,83188,id173,id174,bQQdJ8kC5uKYc7xbb,game27
bunny,dancer,5,1,0,bunny,true,14368,id174,id173,bQQdJ8kC5uKYc7xbb,game27
zombie,bunny,6,2,0,zombie,true,32107,id173,id174,bQQdJ8kC5uKYc7xbb,game27
dancer,zombie,7,3,0,dancer,true,30630,id174,id173,bQQdJ8kC5uKYc7xbb,game27
bunny,zombie,8,0,1,zombie,false,16657,id173,id174,bQQdJ8kC5uKYc7xbb,game27
dancer,zombie,9,1,1,dancer,true,19100,id174,id173,bQQdJ8kC5uKYc7xbb,game27
zombie,bunny,10,2,1,zombie,true,13097,id173,id174,bQQdJ8kC5uKYc7xbb,game27
baby,dancer,11,3,1,baby,true,10688,id174,id173,bQQdJ8kC5uKYc7xbb,game27
zombie,dancer,12,0,2,zombie,true,11436,id173,id174,bQQdJ8kC5uKYc7xbb,game27
dancer,bunny,13,1,2,dancer,true,17908,id174,id173,bQQdJ8kC5uKYc7xbb,game27
bunny,baby,14,2,2,bunny,true,5836,id173,id174,bQQdJ8kC5uKYc7xbb,game27
baby,bunny,15,3,2,baby,true,5470,id174,id173,bQQdJ8kC5uKYc7xbb,game27
dancer,zombie,16,0,3,zombie,false,9096,id173,id174,bQQdJ8kC5uKYc7xbb,game27
zombie,baby,17,1,3,baby,false,7563,id174,id173,bQQdJ8kC5uKYc7xbb,game27
baby,zombie,18,2,3,baby,true,5795,id173,id174,bQQdJ8kC5uKYc7xbb,game27
bunny,dancer,19,3,3,bunny,true,6328,id174,id173,bQQdJ8kC5uKYc7xbb,game27
banana,apple,0,0,NA,banana,true,36553,id175,id176,ExNxH8bdgq2WnajcJ,game28
dog,bird,1,1,NA,dog,true,14821,id176,id175,ExNxH8bdgq2WnajcJ,game28
lemon,star,2,2,NA,star,false,132847,id175,id176,ExNxH8bdgq2WnajcJ,game28
pinwheel,crown,3,3,NA,pinwheel,true,111567,id176,id175,ExNxH8bdgq2WnajcJ,game28
zombie,bunny,4,0,0,NA,false,NA,id175,id176,ExNxH8bdgq2WnajcJ,game28
baby,dancer,5,1,0,baby,true,112220,id176,id175,ExNxH8bdgq2WnajcJ,game28
bunny,zombie,6,2,0,NA,false,NA,id175,id176,ExNxH8bdgq2WnajcJ,game28
dancer,zombie,7,3,0,zombie,false,29981,id176,id175,ExNxH8bdgq2WnajcJ,game28
zombie,dancer,8,0,1,zombie,true,38880,id175,id176,ExNxH8bdgq2WnajcJ,game28
dancer,zombie,9,1,1,NA,false,NA,id176,id175,ExNxH8bdgq2WnajcJ,game28
baby,zombie,10,2,1,NA,false,NA,id175,id176,ExNxH8bdgq2WnajcJ,game28
bunny,zombie,11,3,1,NA,false,NA,id176,id175,ExNxH8bdgq2WnajcJ,game28
baby,zombie,12,0,2,zombie,false,160883,id175,id176,ExNxH8bdgq2WnajcJ,game28
dancer,bunny,13,1,2,NA,false,NA,id176,id175,ExNxH8bdgq2WnajcJ,game28
zombie,bunny,14,2,2,NA,false,NA,id175,id176,ExNxH8bdgq2WnajcJ,game28
bunny,dancer,15,3,2,NA,false,NA,id176,id175,ExNxH8bdgq2WnajcJ,game28
bunny,baby,16,0,3,NA,false,NA,id175,id176,ExNxH8bdgq2WnajcJ,game28
dancer,baby,17,1,3,NA,false,NA,id176,id175,ExNxH8bdgq2WnajcJ,game28
baby,bunny,18,2,3,NA,false,NA,id175,id176,ExNxH8bdgq2WnajcJ,game28
zombie,baby,19,3,3,NA,false,NA,id176,id175,ExNxH8bdgq2WnajcJ,game28
apple,banana,0,0,NA,apple,true,26604,id179,id180,fwqatWCkXaJQfvkn2,game33
dog,bird,1,1,NA,dog,true,39659,id180,id179,fwqatWCkXaJQfvkn2,game33
star,lemon,2,2,NA,star,true,40127,id179,id180,fwqatWCkXaJQfvkn2,game33
pinwheel,crown,3,3,NA,crown,false,21641,id180,id179,fwqatWCkXaJQfvkn2,game33
bunny,baby,4,0,0,baby,false,39327,id179,id180,fwqatWCkXaJQfvkn2,game33
dancer,zombie,5,1,0,NA,false,NA,id180,id179,fwqatWCkXaJQfvkn2,game33
zombie,dancer,6,2,0,NA,false,NA,id179,id180,fwqatWCkXaJQfvkn2,game33
baby,zombie,7,3,0,NA,false,NA,id180,id179,fwqatWCkXaJQfvkn2,game33
baby,bunny,8,0,1,NA,false,NA,id179,id180,fwqatWCkXaJQfvkn2,game33
zombie,dancer,9,1,1,NA,false,NA,id180,id179,fwqatWCkXaJQfvkn2,game33
bunny,baby,10,2,1,NA,false,NA,id179,id180,fwqatWCkXaJQfvkn2,game33
dancer,bunny,11,3,1,NA,false,NA,id180,id179,fwqatWCkXaJQfvkn2,game33
zombie,dancer,12,0,2,NA,false,NA,id179,id180,fwqatWCkXaJQfvkn2,game33
dancer,bunny,13,1,2,NA,false,NA,id180,id179,fwqatWCkXaJQfvkn2,game33
baby,dancer,14,2,2,NA,false,NA,id179,id180,fwqatWCkXaJQfvkn2,game33
bunny,baby,15,3,2,NA,false,NA,id180,id179,fwqatWCkXaJQfvkn2,game33
baby,zombie,16,0,3,NA,false,NA,id179,id180,fwqatWCkXaJQfvkn2,game33
bunny,dancer,17,1,3,NA,false,NA,id180,id179,fwqatWCkXaJQfvkn2,game33
dancer,baby,18,2,3,NA,false,NA,id179,id180,fwqatWCkXaJQfvkn2,game33
zombie,bunny,19,3,3,NA,false,NA,id180,id179,fwqatWCkXaJQfvkn2,game33
apple,banana,0,0,NA,apple,true,53028,id181,id182,FE4m6DqfbQWmwgniQ,game34
dog,bird,1,1,NA,dog,true,9201,id182,id181,FE4m6DqfbQWmwgniQ,game34
lemon,star,2,2,NA,star,false,6141,id181,id182,FE4m6DqfbQWmwgniQ,game34
crown,pinwheel,3,3,NA,pinwheel,false,19581,id182,id181,FE4m6DqfbQWmwgniQ,game34
bunny,dancer,4,0,0,bunny,true,15108,id181,id182,FE4m6DqfbQWmwgniQ,game34
baby,bunny,5,1,0,baby,true,33347,id182,id181,FE4m6DqfbQWmwgniQ,game34
dancer,zombie,6,2,0,dancer,true,16634,id181,id182,FE4m6DqfbQWmwgniQ,game34
zombie,baby,7,3,0,zombie,true,13959,id182,id181,FE4m6DqfbQWmwgniQ,game34
zombie,dancer,8,0,1,zombie,true,24310,id181,id182,FE4m6DqfbQWmwgniQ,game34
dancer,bunny,9,1,1,dancer,true,16249,id182,id181,FE4m6DqfbQWmwgniQ,game34
bunny,zombie,10,2,1,zombie,false,6791,id181,id182,FE4m6DqfbQWmwgniQ,game34
baby,dancer,11,3,1,dancer,false,27592,id182,id181,FE4m6DqfbQWmwgniQ,game34
bunny,baby,12,0,2,bunny,true,7771,id181,id182,FE4m6DqfbQWmwgniQ,game34
dancer,zombie,13,1,2,zombie,false,8692,id182,id181,FE4m6DqfbQWmwgniQ,game34
zombie,baby,14,2,2,baby,false,9729,id181,id182,FE4m6DqfbQWmwgniQ,game34
baby,zombie,15,3,2,baby,true,22832,id182,id181,FE4m6DqfbQWmwgniQ,game34
bunny,zombie,16,0,3,bunny,true,7611,id181,id182,FE4m6DqfbQWmwgniQ,game34
dancer,bunny,17,1,3,bunny,false,14600,id182,id181,FE4m6DqfbQWmwgniQ,game34
zombie,bunny,18,2,3,zombie,true,32282,id181,id182,FE4m6DqfbQWmwgniQ,game34
baby,dancer,19,3,3,baby,true,7998,id182,id181,FE4m6DqfbQWmwgniQ,game34
apple,banana,0,0,NA,apple,true,45814,id184,id183,tMqYmPhQXDtTs3dNd,game38
bird,dog,1,1,NA,dog,false,52107,id183,id184,tMqYmPhQXDtTs3dNd,game38
star,lemon,2,2,NA,star,true,30689,id184,id183,tMqYmPhQXDtTs3dNd,game38
crown,pinwheel,3,3,NA,crown,true,36342,id183,id184,tMqYmPhQXDtTs3dNd,game38
baby,zombie,4,0,0,zombie,false,87974,id184,id183,tMqYmPhQXDtTs3dNd,game38
zombie,baby,5,1,0,zombie,true,83036,id183,id184,tMqYmPhQXDtTs3dNd,game38
dancer,baby,6,2,0,baby,false,44718,id184,id183,tMqYmPhQXDtTs3dNd,game38
bunny,dancer,7,3,0,dancer,false,26591,id183,id184,tMqYmPhQXDtTs3dNd,game38
baby,dancer,8,0,1,baby,true,50683,id184,id183,tMqYmPhQXDtTs3dNd,game38
bunny,zombie,9,1,1,zombie,false,32989,id183,id184,tMqYmPhQXDtTs3dNd,game38
dancer,baby,10,2,1,baby,false,23434,id184,id183,tMqYmPhQXDtTs3dNd,game38
zombie,bunny,11,3,1,zombie,true,33010,id183,id184,tMqYmPhQXDtTs3dNd,game38
baby,zombie,12,0,2,baby,true,27990,id184,id183,tMqYmPhQXDtTs3dNd,game38
dancer,bunny,13,1,2,dancer,true,31623,id183,id184,tMqYmPhQXDtTs3dNd,game38
bunny,dancer,14,2,2,bunny,true,37105,id184,id183,tMqYmPhQXDtTs3dNd,game38
zombie,bunny,15,3,2,zombie,true,29214,id183,id184,tMqYmPhQXDtTs3dNd,game38
baby,zombie,16,0,3,zombie,false,20828,id184,id183,tMqYmPhQXDtTs3dNd,game38
zombie,baby,17,1,3,zombie,true,25019,id183,id184,tMqYmPhQXDtTs3dNd,game38
bunny,zombie,18,2,3,zombie,false,30715,id184,id183,tMqYmPhQXDtTs3dNd,game38
dancer,baby,19,3,3,dancer,true,21780,id183,id184,tMqYmPhQXDtTs3dNd,game38
banana,apple,0,0,NA,banana,true,12093,id186,id185,3nbqrK7ZNYhtaS5Ko,game39
dog,bird,1,1,NA,dog,true,12114,id185,id186,3nbqrK7ZNYhtaS5Ko,game39
star,lemon,2,2,NA,star,true,13771,id186,id185,3nbqrK7ZNYhtaS5Ko,game39
