start	end	text	speaker	trial	role	echo	description	on_topic
278980	279980	Maybe we can try it again.	R					
281980	282980	Nice.	R					
282980	283980	A smiley face.	R	5				
283980	284980	Okay.	R					
284980	285980	Now we're gonna switch.	R					
285980	286980	Only smiley.	id216		L			
286980	287980	Only smiley faces here.	R					
287980	288980	Hey!	id215		S			
288980	291980	I switched this one to a black box.	id215		S			
291980	292980	This one is the black box.	id215		S			
292980	294980	Yeah, so you're just gonna say what's inside the black box.	R					
294980	295980	Regardless of which side.	R					
295980	297980	There's a bunny in the black box.	id215		S		a bunny	Y
299980	300980	Okay.	R					
302980	303980	I got happy.	id215	6	L			
303980	305980	Yeah, you guys are doing super good.	R					
305980	307980	So now you're gonna be the guesser and you're gonna be the teller.	R					
310980	311980	What's this?	id216		S			
311980	312980	I don't know.	R					
312980	313980	You can just use your words.	R					
313980	315980	Try to say what it is.	R					
319980	320980	This is...	id216		S			Y
323980	325980	I don't know what it is.	id216		S			Y
325980	326980	That's okay.	R					
326980	328980	I think I can tell him.	id215		L			
328980	329980	Oh, well, right now you're the guesser.	R					
329980	331980	So when we switch back, then you can be the teller.	R					
331980	333980	But right now, then [id215] is the teller.	R					
333980	337980	So is there anything you can say about it to tell [id215] and Smurphy?	R					
339980	343980	This is a person.	id216		S		a person	Y
344980	345980	Okay.	R					
345980	346980	Is there anything else about it?	R					
348980	349980	No.	id216		S			
349980	350980	No? Okay.	R					
350980	353980	And [id215], you can also ask questions if you want about which one it is.	R					
354980	355980	This one.	id215		L			Y
355980	356980	Oh, okay.	R					
356980	357980	It was the other one, but that's okay.	R	7				
357980	359980	We'll have more chances.	R					
359980	360980	So now we're gonna switch back.	R					
360980	361980	Now you're gonna be the teller.	R					
361980	363980	You're gonna be the guesser.	R					
363980	367980	There's a people in the black box.	id215		S		a people	Y
367980	368980	Okay.	R					
370980	371980	Yay!	R	8				
371980	372980	Okay, cool.	R					
372980	373980	So just like that.	R					
373980	374980	I know we're gonna switch.	R					
374980	375980	You're gonna be the guesser.	R					
375980	376980	You're the teller.	R					
378980	381980	There's a person in the black box.	id216		S		a person	Y
383980	384980	Okay.	R					
384980	385980	Is there anything else about it?	R					
385980	386980	No.	id216		S			Y
386980	387980	Oh, okay.	R	9				
387980	388980	Oh, okay.	R					
388980	389980	It was the other one.	R					
389980	390980	Now we're gonna switch back.	R					
390980	392980	And you're gonna be the guesser.	R					
392980	394980	And you're gonna be the teller.	R					
396980	400980	There's a people in the black box.	id215		S		a people	Y
400980	402980	Is there anything else you can say about it?	R					
402980	403980	Maybe like more words?	R					
403980	404980	No.	id215		S			
404980	405980	No?	R					
405980	406980	That's it?	R					
406980	407980	That's all you see inside?	R					
407980	408980	Okay.	R					
408980	410980	Then [id216], do you want to take your best guess?	R					
410980	411980	Yes.	id216		L			
411980	412980	Okay.	R	10				
412980	413980	Oh, okay.	R					
413980	414980	It was the other one.	R					
414980	419980	So maybe we should try using a little bit more words to try to help the other person	R					
419980	421980	since we've gotten a couple of them wrong now.	R					
421980	422980	Okay.	R					
422980	423980	So now we're gonna be...	R					
423980	424980	Very long.	id215		L			
424980	427980	Okay, so here now it's your turn to be the guesser.	R					
427980	429980	I want to go back to the classroom.	id216		S			
429980	430980	You want to go back to the classroom?	R					
430980	431980	Yes.	id216		S			
431980	432980	Me too.	id215		L			
432980	435980	Do you want to give it like one more shot for the game and then go back?	R					
435980	436980	Or do you want to go back right now?	R					
		Right now.	id215		L			
436980	439980	Okay, then we'll go back to the classroom.	R					
