start	end	text	speaker	trial	role	echo	description	on_topic
416520	417520	Okay.	id209		L			
420520	421520	I don't know.	id210		S			Y
421520	425520	That's okay. That's okay. What does it look like?	R					
427520	429520	If you look at it, what does it look like?	R					
429520	432520	Maybe a shoe.	id210		S		a shoe	Y
433520	434520	Okay.	R					
436520	439520	Yeah, just like that. You're doing really good, [id210].	R	10				
439520	441520	You too, [id209]. That was a great guess.	R					
441520	444520	Now you're going to be the guesser and you're going to be the teller.	R					
444520	449520	Um, the one that's walking with a backpack.	id209		S		walking with a backpack	Y
457520	461520	Awesome. Okay. Now we're going to switch.	R	11				
461520	463520	You're going to be the guesser. You're going to be the teller.	R					
463520	465520	Oh, wait. Yes.	R					
465520	467520	You're going to be the teller.	R					
467520	474520	Um, it looks like a sausage that has a leaf.	id210		S		a sausage that has a leaf	Y
477520	479520	Yay!	R					
479520	482520	Okay. And I'll take it back and you get the guesser again.	R	12				
482520	483520	You're the teller.	R					
483520	486520	Um, the one that looks like a bunny.	id209		S		a bunny	Y
491520	492520	Yay!	R					
492520	494520	We're almost there, guys. You're doing really good.	R					
494520	497520	You're going to be the guesser and you're going to be the teller.	R	13				
497520	502520	It looks like the one that looks like a bunny.	id210		S		a bunny	Y
504520	506520	Whoo!	R	14				
506520	510520	Okay. Now you're going to be the guesser. You're going to be the teller.	R					
510520	516520	The one with the man walking and he has a backpack.	id209		S		the man walking and he has a backpack	Y
520520	522520	Aw, there's the other one, but that's okay.	R	15				
522520	525520	Now we're going to switch back and you're going to be the guesser.	R					
525520	527520	You're going to be the teller.	R					
527520	532520	Uh, the sausage have a leaf.	id210		S		the sausage have a leaf	Y
534520	537520	Wow! Good job, guys.	R	16				
537520	541520	Yeah. Now you're going to be the guesser and you're going to be the teller.	R					
541520	545520	Um, the one that looks like a shoe.	id209		S		a shoe	Y
548520	550520	Yay!	R	17				
550520	553520	Awesome. Now you're going to be the guesser and you're going to be the teller.	R					
553520	555520	You're doing so good.	R					
555520	559520	The sausage that has a leaf and they're very tall.	id210		S		the sausage that has a leaf and they’re very tall	Y
559520	561520	Okay.	R	18				
562520	564520	Okay. Now we're going to swap.	R					
564520	567520	You're going to be the guesser and you're going to be the teller.	R					
567520	573520	Um, the one with the backpack walking.	id209		S		with the backpack walking	Y
576520	578520	Did you hear that [id210]?	R					
579520	581520	Do you want to say that again? [id209]?	R					
581520	588520	Um, the one with the person walking and having a backpack on its back.	id209		S		the person walking and having a backpack on its back	Y
589520	591520	Yay!	R	19				
591520	593520	Awesome. Okay. Now we're going to switch.	R					
593520	595520	You're going to be the guesser. You're going to be the teller.	R					
595520	600520	The one that looks like a shoe.	id210		S		a shoe	Y
603520	605520	Woohoo!	R					
605520	608520	Okay. Just a couple more.	R	20				
608520	611520	Now you're going to be the guesser and you're going to be the teller.	R					
611520	617520	Um, the one that looks like a bunny.	id209		S		a bunny	Y
622520	625520	Aw, it was the other one but that's okay.	R					
625520	628520	Oh! That's the end of the game.	R					
628520	630520	Wow! Thank you guys so much for playing.	R					
