start	end	text	speaker	trial	role	echo	description	backchannel
206600	207600	So you're the guesser.	R					
207600	216600	And then so now, since you're the guesser, then you'll click what you think it is.	R					
216600	221600	So if [id176] said that it's the banana, then you'll touch the one that you think it is.	R			x		
221600	222600	Banana.	id175		L			x
222600	223600	And then you'll tap the screen.	R					
223600	224600	Yes!	R					
224600	225600	Nice.	R					
225600	226600	Okay.	R					
226600	227600	So...	id175		L			
227600	228600	Good job.	R	2				
228600	229600	And so now you're going to be the guesser now.	R					
229600	230600	And now you're the teller.	R					
230600	232600	Um, is it dog?	id175		S			
232600	233600	Oh, tell [id176].	R					
233600	234600	Um...	R					
234600	237600	So tell [id176] what you see in the black box.	R					
237600	240600	Uh, it's a dog.	id175		S		a dog	
240600	241600	Okay.	R					
241600	242600	Nice.	R					
242600	243600	Okay.	R	3				
243600	245600	And now we're going to switch back.	R					
245600	248600	And now you're going to be the guesser.	R					
248600	251600	And you're going to be the teller.	R					
251600	252600	I have it.	id176		S			
252600	255600	So can you tell [id175] what you see inside?	R					
255600	258600	Uh, I don't really know what it is.	id176		S			
258600	260600	Can you say what it looks like?	R					
260600	263600	It's a half connected tube.	id176		S		a half connected tube	
263600	267600	I don't know.	id175		L			
267600	268600	It looks...	id176		S			
268600	270600	In this game we use our words to explain it.	R					
270600	272600	So keep your iPad facing you.	R					
272600	274600	I just wanted to show you.	id176		S			
274600	276600	I don't really know what it is.	id176		S			
276600	278600	But can you explain what it looks like?	R					
278600	280600	Like describe the shapes and stuff?	R			x		
280600	282600	Or if it looks like anything?	R					
282600	283600	It's like...	id176		S			
283600	284600	Okay.	R					
284600	285600	Use your words.	R					
285600	286600	No, use your hands.	R					
286600	287600	Why?	id176		S			
287600	290600	Because in this game we just use our words to try to tell the other person.	R					
290600	295600	There's points going different ways.	id176		S		points going different ways	
295600	300600	And there's like a pointy thing on the top going circles first.	id176		S		a pointy thing on the top going circles first	
300600	301600	Okay, yeah.	R					
301600	302600	Do you have a guess?	R					
302600	304600	Which one it is?	R					
304600	306600	Whatever you think it is based on that.	R					
306600	307600	Maybe this one.	id175		L			
307600	309600	But there's half a circle.	id176		S		half a circle	
309600	317600	Okay, so half a circle.	R			x		
317600	320600	Jenna, do you want to ask [id176] more questions about it?	R					
320600	321600	Yes.	id175		L			
321600	322600	Okay.	id175		L			
322600	326600	I don't know what it should be because this is hard.	id175		L			
326600	329600	Yeah, well it's a hard game but it's pretty cool.	R					
329600	331600	I like this game.	R					
331600	335600	So do you want to ask [id176] a quick question about which one it is?	R					
335600	337600	It's one on this side.	id176		S			
337600	340600	Oh, well it won't be on the same side for the...	R					
340600	346600	So you just have to describe, like explain what it looks like.	R					
346600	347600	It looks...	id176		S			
347600	350600	It kind of looks like a...	id176		S			
350600	354600	It's not a circle with the points.	id176		S		not a circle with the points	
354600	357600	It's the other one.	id176		S			
357600	364600	We did this side but I don't know what this side is working.	id175		L			
364600	367600	It doesn't matter.	id176		S			
367600	371600	Yeah, you just tap whichever one that you think that he's describing.	R					
371600	374600	The one that he's trying to tell you about.	R					
374600	376600	Yeah, just take your best guess.	R					
376600	378600	Maybe this one.	id175		L			
378600	379600	Okay, just stop it.	R					
379600	381600	Take your best guess.	R					
381600	383600	Okay, so it was the other one but that's okay.	R	4				
383600	385600	And now it's your turn to be the...	R					
385600	386600	This one?	id175		S			
386600	387600	Maybe the teller, yeah.	R					
387600	390600	So can you tell, [id176], what you see inside the black box?	R					
390600	392600	it’s so cuddly	id176		L			
392600	393600	I know.	R					
393600	395600	do you sleep with this?	id176		L			
395600	396600	I don't.	R					
396600	397600	What?	id176		L			
397600	398600	Wait, let's listen to [id175].	R					
398600	399600	Okay.	R					
399600	402600	So [id175], what do you see in the black box?	R					
402600	406600	It's kind of pink.	id175		S		pink	
406600	408600	Pink?	id176		L			
408600	409600	I don't know.	id175		S			
409600	411600	I'm just giving you a best shot.	R					
411600	413600	Like anything that it looks like.	R					
413600	415600	Or any shapes in it.	R					
415600	418600	Or anything like that.	R					
418600	422600	I think it's this one.	id176		L			
422600	424600	Well, do you want to ask [id175] some questions?	R					
424600	428600	I don't know what color it is.	id175		S			
428600	432600	Just tell me questions about it.	id176		L			
432600	437600	Maybe this isn't Korean.	id175		S			
437600	440600	Isn't Korean then?	id175		S			
440600	442600	Is this...	id175		S			
442600	443600	It's kind of...	id175		S			
443600	445600	It has a little bubble.	id175		S		has a little bubble	
445600	446600	And then it has this.	id175		S			
446600	447600	But it's black.	id175		S		black	
447600	452600	I don't know what is it.	id175		S			
452600	454600	Oh, is it this one over here?	id176		L			
454600	456600	Or is it over there?	id176		L			
456600	457600	Well, they're not on the same side.	R					
457600	458600	On each side.	R					
458600	459600	It switches back and forth.	R					
459600	460600	It's random.	R					
460600	462600	So you just have to describe the shape.	R					
462600	463600	Just explain what it...	R					
463600	467600	What you think it looks like.	R					
467600	468600	I don't know.	id176		L			
468600	470600	Maybe just press.	id175		S			
470600	472600	Okay, do you want to take your best guess?	R					
472600	473600	Which one?	R					
473600	475600	It's totally okay if you get it wrong.	R					
475600	478600	Because there's going to be a lot of chances.	R					
478600	481600	It's round?	id176		L		round	x
481600	485600	Is it round?	R			x		
485600	486600	It just...	id175		S			
486600	488600	What it do like this?	id175		S			
488600	494600	It just go round.	id175		S		go round	
494600	496600	Yay!	R	5				
496600	497600	It was this one.	id176		S			
497600	499600	It was this one over here.	id176		S			
499600	501600	Yeah, but it changes the sides.	R					
501600	502600	Okay.	R					
502600	503600	Now we're going to switch.	R					
503600	504600	So now you're going to be telling...	R					
504600	505600	I know what it is!	id176		S			
505600	506600	Okay.	R					
506600	507600	Now you're going to do this.	R					
507600	509600	It's a person!	id176		S		a person	
509600	511600	It's a person.	id176		S			
511600	512600	Okay.	R					
512600	514600	[id175], do you	R					
514600	515600	Do you see that?	R					
515600	516600	Do you want to take a guess?	R					
516600	521600	Which one it is?	R					
521600	526600	The one that has the square on the back.	id176		S		the square on the back	
526600	527600	Square?	id175		L			x
531600	533600	I know it is...	id175		L			
533600	534600	Just press it.	id176		S			
534600	535600	Do you know what it is?	id176		S			
535600	536600	Yeah.	R					
536600	537600	You can just press it.	R					
537600	539600	Press it when you think you know which one it is.	R					
539600	541600	I cannot think.	id175		L			
541600	542600	It's okay.	R					
542600	544600	Just press it.	id176		S			
544600	547600	Just give me good guess.	id176		S			
547600	548600	Yeah.	R					
548600	549600	You know?	id176		S			
549600	550600	It's okay.	R					
550600	551600	It's just a fun game.	R					
551600	552600	It's okay.	R					
552600	554600	You don't have to guess it.	id176		S			
554600	559600	Just do whatever you want.	id176		S			
559600	564600	You can finish the game whenever you want to, right?	id176		S			
564600	565600	Yeah.	R					
565600	570600	I want to do a long time because I always want to play.	id175		L			
570600	571600	Yeah.	R					
571600	573600	Well, but this is how we play the game.	R					
573600	574600	So if you want to just tap.	R					
574600	575600	Just tap.	id176		S			
575600	579600	Do you want to just...	R					
579600	581600	Do you want to tell me what it looks like again?	R					
581600	585600	It looks like shoes.	id176		S		shoes	
585600	586600	Shoes on the...	id176		S		shoes on	
586600	587600	Like a person.	id176		S		a person	
587600	592600	But they pointy on the end and then they go this way.	id176		S		pointy on the end and then they go this way	
592600	593600	And then they...	id176		S			
593600	595600	And then they tell...	id176		S			
595600	597600	And then they go like...	id176		S			
597600	599600	And then they go this...	id176		S			
599600	601600	And then they go this way.	id176		S		they go this way	
601600	603600	And then they go up.	id176		S		they go up	
603600	605600	And then they go down that way.	id176		S		they go way down that way	
605600	606600	That there.	id176		S			
606600	607600	There.	id176		S			
607600	608600	There.	id176		S			
608600	609600	There.	id176		S			
609600	610600	And then down.	id176		S		down	
610600	611600	And then pick up.	id176		S		pick up	
611600	612600	And then...	id176		S			
612600	614600	I don't know if that's really helping [id175].	R			x		
614600	616600	Okay, [id175], do you want to take your best guess?	R					
616600	617600	And just tap the screen?	R					
617600	622600	Maybe this is like a square and a half and has a square.	id175		L		square and a half and has a square	x
622600	623600	Well, you're just guessing.	R					
623600	626600	So you're just going to listen to what he tells you.	R					
626600	627600	I don't know.	id175		L			
627600	628600	Yeah.	R					
628600	629600	It's okay.	R					
629600	630600	It's okay.	R					
630600	631600	Just take your best guess.	R					
631600	632600	Yeah.	id176		S			
632600	633600	Toughen up. 	id176		S			
633600	634600	No.	R					
634600	635600	You're just tap the screen.	R					
635600	637600	Whichever one you think it is.	R					
637600	643600	She's definitely the one on the square on the back.	id176		S			
643600	644600	This one.	id175		L			
644600	647600	Okay, try it.	R					
647600	648600	Just tap it.	R					
648600	649600	It's okay.	R					
649600	650600	Just tap it.	R					
650600	653600	Because I guess it's no.	id175		L			
653600	654600	It's okay.	R					
654600	656600	Just tap it and see.	R					
656600	659600	There's going to be a lot of more chances to go back and forth.	R					
659600	660600	So don't worry about it.	R					
660600	661600	Just tap.	R					
661600	662600	Tap.	R					
662600	663600	It's okay.	R					
663600	664600	Yeah.	R					
664600	669600	Just take your best guess.	R					
669600	674600	You have to tap a little harder.	R					
679600	682600	Just do it.	id176		S			
682600	683600	No.	id175		L			
683600	684600	Okay.	R					
684600	686600	So that was the other one.	R					
686600	687600	But that's totally okay.	R					
687600	688600	We'll have more chances.	R	6				
688600	689600	I know.	id176		L			
689600	692600	I know you're going to be the teller.	R					
692600	693600	She's so cute.	id176		L			
693600	695600	[id176], pay attention to [id175].	R					
695600	696600	Okay.	id176		L			
696600	699600	[id175], could you tell [id176] what you see inside?	R					
699600	700600	Is it a boot?	id176		L		a boot	x
700600	701600	The black box.	R					
701600	704600	Oh, is it a boot?	id176		L			x
704600	705600	She's the teller right now.	R					
705600	708600	So you're just going to listen.	R					
708600	718600	This is like a	id175		S			
		is it a good guess for you?	id176		L			
718600	724600	It's a, I know how to do this game with the box, but I don't know what it is.	id175		S			
724600	727600	It has no box.	id175		S			
727600	728600	Yeah.	R					
728600	730600	Can you just say what's like inside the box?	R					
730600	732600	What that thing is?	R					
732600	734600	Listen to [id175].	R					
734600	736600	Listen to [id175].	R					
736600	737600	He's confused.	id176		L			
737600	744600	I know, but he'll be less confused if you listen to [id175].	R					
744600	749600	It has a diamond at the top, like a face.	id175		S		a diamond at the top like a face	
749600	751600	It has a whole body.	id175		S		a whole body	
751600	759600	It has like a little tiny point on the top.	id175		S		a little tiny point on the top	
759600	762600	It's a little like a pointy.	id175		S			
762600	767600	It has a pointy like over here.	id175		S		has a pointy like over here	
767600	769600	Well, he can't see what you're pointing at.	R					
769600	772600	Is there a way you can tell him what it looks like with your words?	R					
772600	774600	Let's touch the box.	id175		S			
774600	776600	Well, but he doesn't have the box.	R					
776600	781600	So you have to try to help him know which one that you see inside the box.	R					
781600	787600	I don't really know what it is, but I'll take a good guess.	id176		L			
787600	788600	Okay.	R					
788600	790600	Then yeah, you can just take your best guess.	R					
790600	794600	I think it's this one.	id176		L			
794600	795600	Just press it.	id176		L			
795600	796600	Yeah.	R					
796600	797600	Just press it when you think you know.	R					
797600	798600	Yeah.	R	7				
798600	799600	Nice.	R					
799600	800600	That's it.	R					
800600	801600	Cool.	R					
801600	802600	Switch back.	R					
802600	804600	So now it's going to go over here.	R					
804600	805600	You can have it.	id176		S			
805600	806600	Here you go, [id175].	R					
806600	808600	So now it's your turn to guess.	R					
808600	810600	So can you describe it?	R					
810600	812600	Do you think to press it?	id176		S			
812600	813600	Can I press it?	id176		S			
813600	814600	You don't press.	R					
814600	817600	Right now you're the teller because you have the black box.	R					
817600	821600	Oh, why is there the same thing as earlier?	id176		S			
821600	824600	It just, there's only a couple of shapes, but yeah.	R					
824600	825600	So can you tell?	R					
825600	830600	It kind of looks like a boot.	id176		S		a boot	
830600	831600	No.	id175		L			
831600	832600	Okay.	R					
832600	835600	So do you see one that?	R					
835600	837600	The one on this side.	id176		S			
837600	840600	It's not on the same side for each person.	R					
840600	843600	So that doesn't help her.	R					
843600	844600	It's such a bunch of poo.	id176		S			
844600	846600	But that's just how the game works.	R					
846600	847600	No, it's not.	id176		S			
847600	848600	It's not.	id176		S			
848600	849600	It's not.	id176		S			
849600	850600	It's not.	id176		S			
850600	851600	Let’s focus on the game okay. Can you tell [id175] what you see inside the black box?	R					
		It’s a boot	id176		S			
860600	861600	Okay.	R					
861600	864600	So [id175], do you want to take your best guess?	R					
864600	865600	No.	id175		L			
865600	868600	I don't know what it is.	id175		L			
868600	869600	It's okay if you don't know.	R					
869600	874600	Just take your best guess.	id176		S			
874600	878600	[id176], could you tell her more about it?	R					
878600	880600	Besides just that, it's a boot.	R			x		
880600	881600	Can you tell her more?	R					
881600	882600	it’s a boot	id176		S			
882600	883600	It's not.	R					
883600	885600	But that's not enough for her to know.	R					
885600	887360	We're here to know, so could you tell her more?	R					
887360	888920	That was funny.	id175		L			
888920	892000	There's points on the top	id176		S		points on the top	
892000	893000	Okay.	R					
893000	896000	Did [id175] do want to try guessing?	R					
896000	899000	There's a square with a middle.	id176		S		a square with a middle	
899000	900000	Yeah.	R					
900000	901000	I don't know.	id175		L			
901000	902000	It's such a fussy bit-fair.	id176		S			
902000	903000	He's giving you, he's telling you a lot about it.	R					
903000	904000	I don't know.	id175		L			
904000	905000	But, you just do it!	id176		S			
907000	919000	Then you can just take your best guess, it's okay, [id175].	R					
919000	923000	Don't do that!	id176		S			
923000	927000	It's a boot!	id176		S			
927000	929000	I don't know.	id175		L			
930000	939000	There's a point in the middle!	id176		S			
939000	941000	It's a point in the middle!	id176		S			
941000	943000	[id175], just take your best guess, it's okay.	R					
943000	945000	Just tap, whichever one you think is...	R					
945000	947000	There's a point in the middle.	id176		S			
947000	949000	Let’s use our inside voices.	R					
949000	952000	Do you want to take your best guess, [id175]?	R					
952000	955000	I just want to stop playing.	id176		S			
955000	958000	I just want to watch...	id175		L			
958000	964000	I just want to watch this game, but I don't know what its answer is.	id175		L			
964000	969000	Because I play any games, no games.	id175		L			
969000	970000	It's okay.	R					
970000	975000	Because I can't solve...	id176		S			
975000	977000	I just don't...	id176		S			
977000	980000	I just know how to do kindergarten games.	id175		L			
980000	981000	It's okay.	R					
981000	984000	I don't know.	id175		L			
984000	985000	I don't press it.	id175		L			
985000	987000	I'm the sad guess! Sad face	id176		S			
990000	991000	Now you're the teller.	R	8				
991000	992000	So now we're going to switch back.	R					
992000	993000	Maybe this.	id175		S			
993000	996000	Yes, so can you tell [id176] which one you see?	R					
996000	1001000	This is an exercise like this.	id175		S		an exercise like this	
1001000	1003000	You got to use your words to explain it.	R					
1003000	1009000	This is an exercise like this, but maybe let's just press it.	id175		S			
1009000	1011000	You have to explain it to [id176].	R					
1011000	1013000	Wait, I know what it is.	id176		L			
1013000	1018000	You want to take your guess?	R					
1018000	1020000	Okay, so it was the other one, but that's okay.	R	9				
1020000	1021000	Now we're going to switch back.	R					
1021000	1024000	And now it's your turn to guess.	R					
1024000	1026000	It's the one earlier.	id176		S		the one earlier	
1026000	1028000	That's the one I didn't get right.	id176		S		that’s the one I didn’t get right	
1028000	1030000	I don't think she knows which one it was.	R					
1030000	1032000	Can you use your words to tell her about it?	R					
1032000	1033000	But it looks like...	id176		S			
1033000	1037000	I just told her!	id176		S			
1037000	1039000	Just toughen up	id176		S			
1039000	1042000	Maybe over here.	id175		L			
1042000	1045000	Can you tell her which one it looks like?	R					
1045000	1047000	It's the one I got wrong.	id176		S		the one I got wrong	
1047000	1050000	But can you help her guess with some words to tell her about it?	R					
1050000	1055000	There's a square on the back and the head is going down.	id176		S		a square on the back and the head is going down	
1055000	1060000	Okay, just click it.	R					
1060000	1061000	Nice.	R	10				
1061000	1062000	Okay, cool.	R					
1062000	1063000	Told you!	id176		L			
1063000	1065000	Toughen up man.	id176		L			
1065000	1066000	You're doing great.	R					
1066000	1069000	Okay, so now you're going to be the teller and you're going to be the guesser.	R					
1069000	1076000	So can you tell [id176] what you see in the black box?	R					
1076000	1080000	I just want to sit down and see who can sit.	id176		L			
1080000	1082000	Why does it don't sit?	id176		L			
1082000	1083000	I don't know.	R					
1083000	1087000	Okay, so [id175], can you tell [id176] what you see in the black box?	R					
1087000	1088000	I don't know.	id176		L			
1088000	1097000	Hey, can you tell [id176] what you see?	R					
1097000	1100000	We already did this	id175		S			
1100000	1103000	Yeah, but that means that you already know how to do it.	R					
1103000	1109000	So can you tell him what is inside?	R					
1109000	1112000	[id176], do you want to ask [id175] a question about it?	R					
1112000	1117000	What does it look like?	id176		L			
1117000	1121000	[id175], what does it look like?	R					
1121000	1124000	What are you, the boss?	id176		L			
1124000	1134000	[id175], can you tell [id176] what's inside the black box?	R					
1134000	1143000	It looks like this, but it has	id175		S			
		a square on the back, you mean?	id176		L		a square on the back	x
1143000	1144000	Yes.	id175		S			x
1144000	1151000	What is it, a triangle?	id176		L		a triangle	x
1151000	1156000	Is this square on the back?	id175		S		square on the back	
1156000	1159000	On the back means over there.	id176		L			x
1159000	1164000	It's a little over here.	id175		S		a little over here	x
1164000	1167000	That's a point, I can't really see.	id176		L			x
1167000	1172000	Or use your words, because pointing doesn't help that much in this game.	R					
1172000	1173000	So could you?	R					
1173000	1174000	Look.	id175		S			
1174000	1177000	Well, but I can't see and [id176] can't see.	R					
1177000	1180000	So you have to help him by using your words.	R					
1180000	1184000	Just do it, you just put him higher.	id176		L			
1184000	1186000	Well, no, you're supposed to use your words though.	R					
1186000	1189000	But it doesn’t matter.	id176		L			
1189000	1191000	But it does matter, that's the rules of the game, that's how you do it.	R					
1191000	1193000	And I'm not holding it.	id176		L			
1193000	1195000	Well, you're still the guesser.	R					
1195000	1197000	Okay, so [id175], can you tell [id176] what you see?	R					
1197000	1200000	What does it look like?	R					
1200000	1203000	[id176], can we sit back up in the chair?	R					
1203000	1206000	I don't want to look.	id176		L			
1206000	1209000	[id176], but you're the guesser right now, you got to listen to [id175].	R					
1209000	1210000	Can you help [id175] out?	R					
1210000	1213000	Ah, gosh, okay.	id176		L			
1213000	1216000	[id176].	R					
1216000	1219000	Hey [id175].	R					
1219000	1222000	Hey, [id176], [id176], can we sit in the chair please?	R					
1222000	1226000	[id176].	R					
1226000	1228000	[id175], can we sit in the chair please?	R					
1228000	1233000	[id176], can you please sit down.	R					
1233000	1236000	Hey, once we finish this game, once we finish this game, you can go back.	R					
1236000	1238000	Hey guys.	R					
1238000	1241000	Guys, once we finish this game, you can go back into the classroom.	R					
1241000	1244000	Okay.	R					
1244000	1248000	[id175], could you please describe to what you see?	R					
1248000	1250000	My dad.	id175		S			
1250000	1253000	It's a food.	id176		L			
1253000	1256000	It's a food, it's a food.	id176		L			
1256000	1259000	Okay, so you are the teller right now, so you need to try it.	R	11				
1263000	1266000	[id176], could you tell [id175] what you see inside?	R					
1266000	1269000	Okay, what does it look like?	R					
1269000	1272000	It's this way.	id176		S		this way	
1272000	1275000	Yes.	id176		S			
1275000	1281000	And it has a point on the top,	id176		S		a point on the top	
1281000	1285000	like a point going this way,	id176		S		a point going this way	
1285000	1290000	and then it goes like this, and then it goes this way,	id176		S		it goes like this and then it goes this way	
1290000	1292000	and then it goes right down,	id176		S		and then it goes right down	
1292000	1294000	and then it goes this way again,	id176		S		and then it goes this way again	
1294000	1296000	and then it goes that way,	id176		S		and then it goes that way	
1296000	1298000	it goes that way,	id176		S		it goes that way	
1298000	1301000	and then it goes straight this way,	id176		S		and then it goes straight this way	
1301000	1303000	and then it goes up this way,	id176		S		and then it goes up this way	
1303000	1306000	and then it goes up this way.	id176		S		and then it goes up this way	
1306000	1308000	[id176], I don't know if [id175] is following this.	R			x		
1308000	1310000	And then this goes this way,	id176		S		this goes this way	
1310000	1312000	and then it goes again.	id176		S		and then it goes again	
1312000	1317000	Okay, so [id175], do you want to take your best guess?	R					
1317000	1321000	Do you see a point?	id176		S		a point	
		I don’t	id175		L			x
1322000	1325000	The point is on the top.	id176		S		the point is on the top	
1325000	1328000	The point is not on the back.	id176		S		the point is not on the back	
1328000	1330000	Over here?	id175		L			x
1330000	1332000	Yeah, like on the top.	id176		S		on the top	
1332000	1334000	[id175].	R					
1336000	1338000	It kind of...	id176		S			
1338000	1340000	I don't really know what that picture is,	id176		S			
1340000	1342000	but it's your guess.	id176		S			
1342000	1344000	Yeah, [id175].	R					
1344000	1346000	Take your best guess.	id176		S			
1346000	1348000	Yeah, could you take your best guess, please?	R					
1348000	1353000	I just don't know this guess.	id175		L			
1353000	1355000	I just know the...	id175		L			
1355000	1356000	Poopoo guesses?	id176		S			
1356000	1358000	No, playing guesses.	id175		L			
1358000	1359000	It's okay.	R					
1359000	1360000	We're playing...	id176		S			
1360000	1361000	This is part of the game.	R					
1361000	1362000	This is how you play.	R					
1362000	1363000	Yeah.	R					
1363000	1364000	So can you just click it?	R					
1364000	1365000	Can you click which one?	R					
1365000	1366000	Do you think it is?	R					
1366000	1367000	Just tap it.	R					
1367000	1368000	Poopoo.	id176		S			
1376000	1377000	[id175].	R					
1378000	1380000	I think it's a liar. Liar pants on fire. 	id176		S			
1382000	1384000	[id175], could you click which one?	R					
1384000	1385000	Do you think it is?	R					
1385000	1387000	I think it's a liar.	id176		S			
1387000	1390000	Pointing at a poop.	id176		S			
1392000	1394000	That's funny.	id175		L			
1394000	1395000	Funny.	id175		L			
1400000	1401000	[id175], could you...	R					
1401000	1402000	This is how we play the game,	R					
1402000	1403000	so could you tap it?	R					
1403000	1404000	It kind of looks like it,	id176		S			
1404000	1407000	but it's not that.	id176		S			
1407000	1408000	Just tap.	R					
1408000	1410000	It looks like a pointy-goody...	id176		S		a pointy goody	
1410000	1411000	Yep, just tap [id175].	R					
1411000	1412000	It's a pointy-goody.	id176		S			
1412000	1413000	Just tap.	R					
1413000	1414000	Just tap.	R					
1414000	1415000	Any time?	id175		L			
1415000	1416000	No, just one time.	R					
1416000	1417000	Just tap.	R					
1417000	1418000	It also goes this way	id176		S			
1418000	1419000	and that way too.	id176		S			
1419000	1420000	The points go this way	id176		S			
1420000	1421000	and that way.	id176		S			
1421000	1422000	This one?	id175		L			
1422000	1423000	I don't know.	R					
1423000	1424000	You have to listen to [id176]'s	R					
1424000	1425000	what he tells you,	R					
1425000	1427000	but then could you tap it?	R					
1427000	1428000	Do it.	id176		S			
1428000	1430000	Whichever one you think it is.	R					
1430000	1431000	No.	id175		L			
1431000	1433000	Bye, guess.	id175		L			
1434000	1435000	[id175], just...	R					
1435000	1436000	If you can...	R					
1436000	1437000	Okay, so you...	R					
1437000	1439000	Did you tap anything?	R	12				
1439000	1441000	I'm not really good at doing this.	id175		S			
1441000	1442000	Okay, it's okay.	R					
1442000	1443000	You don't have to be good at it.	R					
1443000	1444000	I don't know.	id175		S			
1444000	1445000	Because I see the fog	id176		L			
1445000	1446000	just on my head.	id176		L			
1446000	1448000	I think I have...	id176		L			
1448000	1449000	Right now, you're the guesser.	R					
1449000	1451000	So can you listen to what [id175] has to say?	R					
1451000	1453000	[id175], can you tell...	R					
1453000	1455000	[id176], can you listen to what [id175] has to say?	R					
1455000	1456000	Because right now,	R					
1456000	1457000	[id175] is the teller	R					
1457000	1458000	and you're the guesser.	R					
1458000	1459000	Okay.	id176		L			
1459000	1460000	Okay, so let's listen.	R					
1460000	1462000	What is up my hand?	id176		L			
1462000	1463000	What?	R					
1463000	1465000	I want to stop playing the game.	id176		L			
1465000	1466000	You want to stop playing the game?	R					
1466000	1467000	Me too.	id175		S			
1467000	1468000	Okay, then that's okay.	R					
1468000	1470000	Then maybe let's keep going.	id175		S			
1470000	1472000	Do you want to keep going?	R					
1472000	1474000	A little bit.	id176		L			
1474000	1475000	Okay, then let's keep going	R					
1475000	1476000	for a little bit more.	R					
1476000	1477000	And if you ever want to stop,	R					
1477000	1479000	then we can go back to the classroom, okay?	R					
1479000	1480000	Okay.	id176		L			
1480000	1482000	Okay, so then [id175],	R					
