start,end,text,,,,,,,speaker
149000,155000,What do you see in the black box?,,,,,,,I
155000,158000,Crow,,,,,,,id16
158000,160000,He sees a crow.,,,,,,,I
160000,161000,Do you see a crow?,,,,,,,I
161000,162000,Yeah.,,,,,,,I
162000,165000,Go ahead and touch it.,,,,,,,I
165000,167000,Quick touch.,,,,,,,M
167000,169000,"So, we don't want to hold it.",,,,,,,M
169000,170000,We just want to go like this.,,,,,,,M
170000,172000,We want to go boop.,,,,,,,M
172000,174000,Quick touch.,,,,,,,M
174000,177000,And touch.,,,,,,,M
177000,178000,All right.,,,,,,,M
178000,179000,Can you see your hand?,,,,,,,M
179000,180000,"So, we're going to go like this.",,,,,,,M
180000,182000,We're going to go boop.,,,,,,,M
182000,183000,Yay!,,,,,,,M
183000,184000,See how we do that?,,,,,,,M
184000,185000,Yeah.,,,,,,,M
185000,186000,That sounds good.,,,,,,,M
186000,187000,All right.,,,,,,,M
187000,188000,"Now, we're going to move Smurphy.",,,,,,,I
188000,190000,It'll be your turn to guess now.,,,,,,,I
190000,192000,"Now, what do we see [id15]?",,,,,,,I
192000,197000,I see a square.,,,,,,,id15
197000,200000,What do you see inside this box?,,,,,,,M
200000,201000,I see a square.,,,,,,,id15
201000,202000,Uh-huh.,,,,,,,M
202000,205000,with one feet.,,,,,,,id15
205000,206000,Uh-huh.,,,,,,,id15
206000,212000,"And one, I don't know, this one.",,,,,,,id15
212000,216000,"So, she sees a square with one foot.",,,,,,,M
216000,218000,I see a square with one foot.,,,,,,,id16
218000,221000,Let's press it.,,,,,,,I
221000,222000,Great.,,,,,,,I
222000,223000,Okay.,,,,,,,I
223000,225000,"Now, it'll be [id15]'s turn.",,,,,,,I
225000,226000,Here you are.,,,,,,,I
226000,229000,And let's tell [id15] and Smurphy what we see.,,,,,,,I
229000,230000,Okay?,,,,,,,I
230000,233000,What do we see in the black box?,,,,,,,I
233000,235000,"Oh, not yet [id15].",,,,,,,M
235000,239000,"So, next time, my friend, we want to wait until our friend over here can tell us what he sees.",,,,,,,M
239000,240000,That sound good?,,,,,,,M
240000,241000,Okay.,,,,,,,M
241000,242000,Yeah.,,,,,,,M
242000,243000,All right.,,,,,,,M
243000,244000,I'm going to move Smurphy.,,,,,,,M
244000,245000,Do-do-do-do.,,,,,,,M
245000,247000,"So, what do you see in this box?",,,,,,,M
247000,249000,I see a guy.,,,,,,,id15
249000,251000,Do you see a guy?,,,,,,,M
251000,253000,Do you see a guy?,,,,,,,M
253000,255000,I see a guy.,,,,,,,id16
255000,256000,Do you see one?,,,,,,,I
256000,257000,Uh-huh.,,,,,,,id16
257000,259000,Should we press it?,,,,,,,I
259000,260000,Great.,,,,,,,I
260000,261000,Okay.,,,,,,,I
261000,262000,All right.,,,,,,,I
262000,263000,Smurphy.,,,,,,,I
263000,267000,"Now, what do we see in the box?",,,,,,,I
267000,268000,I see.,,,,,,,id15
268000,269000,Wait,,,,,,,M
269000,271000,You're holding Smurphy?,,,,,,,M
271000,272000,Guessing.,,,,,,,M
272000,273000,Yeah.,,,,,,,M
273000,274000,I see this.,,,,,,,id15
274000,275000,Uh-huh.,,,,,,,M
275000,277000,"So, [id16]'s going to tell you which one's in the box.",,,,,,,M
277000,280000,"[id16], what do you see in the box?",,,,,,,I
280000,287000,"Uh, a two wings with a square in the back with two feet.",,,,,,,id16
287000,291000,Two wings with a square in the back with two feet.,,,,,,,I
291000,293000,"Do you see that, [id15]?",,,,,,,M
293000,295000,Go ahead and touch it.,,,,,,,M
295000,298000,Go ahead and make a quick touch.,,,,,,,M
298000,300000,"Quick touch, and we're just going to go boop-boop.",,,,,,,M
300000,302000,It's like you did last time.,,,,,,,M
302000,307000,Do you see how you're kind of like holding your finger?,,,,,,,M
307000,308000,We just want to go boop-boop.,,,,,,,M
308000,309000,Quick.,,,,,,,M
309000,310000,Yay.,,,,,,,M
310000,311000,Good job.,,,,,,,M
311000,312000,Let's pass Smurphy over here.,,,,,,,M
312000,313000,All right.,,,,,,,M
313000,314000,Smurphy's going to come over here.,,,,,,,M
314000,315000,There you go.,,,,,,,M
315000,316000,"Now, what's in the box?",,,,,,,I
316000,323000,I see a guy with a triangle and with two feet and with a square.,,,,,,,id15
323000,324000,Hmm.,,,,,,,I
324000,329000,A guy with a triangle and two feet with a square.,,,,,,,I
329000,334000,I see a guy with a triangle and two feet and a square.,,,,,,,id16
334000,336000,Let's press it.,,,,,,,I
336000,338000,Let's try it again.,,,,,,,I
338000,340000,I'm going to press it.,,,,,,,I
340000,341000,"Oh, that's okay.",,,,,,,I
341000,343000,We can try it next time.,,,,,,,I
343000,346000,"All right, here you go.",,,,,,,I
346000,348000,"Now, what do you see in the box?",,,,,,,I
348000,357000,A guy with one foot and a square and a triangle.,,,,,,,id16
357000,359000,"All right, so right now, you have Smurphy.",,,,,,,M
359000,360000,So you're going to be guessing.,,,,,,,M
360000,363000,So we want to use our super good listening ears and listen to what you know is telling,,,,,,,M
363000,365000,us in the box so we can guess.,,,,,,,M
365000,366000,Okay?,,,,,,,M
366000,367000,What do we see?,,,,,,,I
367000,368000,Go.,,,,,,,I
368000,380000,"A foot, a man with one foot and a line and a square and a triangle.",,,,,,,id16
380000,386000,So a man with one foot and a line and a square and a triangle.,,,,,,,M
386000,390000,"Oh, I know one foot.",,,,,,,id15
390000,391000,So we're going to go in touch.,,,,,,,M
391000,394000,"Quick touch, whichever one you think it is.",,,,,,,M
394000,395000,There you go.,,,,,,,M
395000,396000,Good.,,,,,,,M
396000,397000,That was a good one.,,,,,,,M
397000,398000,Great job.,,,,,,,M
398000,399000,Choo choo,,,,,,,I
399000,400000,There we go.,,,,,,,I
400000,401000,"Now, I see a boat.",,,,,,,id15
401000,402000,A boat.,,,,,,,M
402000,403000,She sees a boat.,,,,,,,I
403000,404000,I see a boat.,,,,,,,id16
404000,405000,Let's press it.,,,,,,,I
405000,406000,Great.,,,,,,,I
406000,407000,Here you are.,,,,,,,I
407000,417000,Now what do we see?,,,,,,,I
417000,427000,I see a guy with two foot and a line and a square.,,,,,,,id15
427000,429000,Let's listen to [id15].,,,,,,,I
429000,440000,"When we have Smurfy and when there's no black box, we just want to listen.",,,,,,,M
440000,441000,Okay?,,,,,,,M
441000,445000,We only tell when we don't have Smurfy and there's a black box.,,,,,,,M
445000,446000,Okay?,,,,,,,M
446000,447000,That sounds good.,,,,,,,M
447000,448000,Okay.,,,,,,,M
448000,458000,I see a man with two foot and in a tummy shaped as a diamond and a square head.,,,,,,,id16
458000,465000,"So he has two feet, a tummy that's diamond shaped and a square head.",,,,,,,M
465000,466000,Yeah.,,,,,,,I
466000,472000,So you're going to touch whichever one you think it is.,,,,,,,I
472000,473000,Great job.,,,,,,,I
473000,474000,Great.,,,,,,,I
474000,475000,Let's go around Smurfy here.,,,,,,,I
475000,476000,Here you are.,,,,,,,M
476000,478000,Now what do we see?,,,,,,,M
478000,487000,I see one guy with one foot and a triangle and a square.,,,,,,,id15
487000,494000,I see a man with one foot and a triangle and a square.,,,,,,,id16
494000,497000,Let's press it.,,,,,,,I
497000,498000,Great.,,,,,,,I
498000,500000,Here you are.,,,,,,,I
500000,501000,Now what do we see?,,,,,,,I
501000,514000,I see a man with two foot and a diamond shaped tummy and a square head.,,,,,,,id16
514000,523000,"Yeah, I see two foot and a tummy of a diamond and a square.",,,,,,,id15
523000,526000,"All right, go ahead touch it.",,,,,,,M
526000,527000,Great.,,,,,,,M
527000,532000,"Okay, let's pass Smurfy on.",,,,,,,M
532000,535000,Now what do we see?,,,,,,,M
535000,545000,I see a guy with two foot and one and one tummy and one square tummy.,,,,,,,id15
545000,556000,"No, actually it's a square tummy and it's a triangle tummy square.",,,,,,,id15
556000,559000,And his head is a square.,,,,,,,id15
559000,562000,Did we listen to that?,,,,,,,I
562000,564000,Can you say it again?,,,,,,,I
564000,580000,I see two feet of a guy with one square tummy and one triangle tummy and one square.,,,,,,,id15
580000,582000,Let's press it.,,,,,,,I
582000,583000,Yes.,,,,,,,I
583000,584000,It's okay.,,,,,,,I
584000,587000,We can try again next time.,,,,,,,I
587000,590000,Now what do we see?,,,,,,,I
590000,603000,A man with two feet and two triangle wings and one square in the back shaped like a jet.,,,,,,,id16
603000,616000,"So he sees a man with two feet with two triangle wings, a square head and a back shaped like a jet.",,,,,,,I
616000,623000,Do you have your guess?,,,,,,,I
623000,627000,"Okay, let's pass Smurfy on.",,,,,,,I
627000,629000,You guys are done!,,,,,,,I
629000,630000,Great job guys.,,,,,,,M
630000,632000,Thank you for playing our game.,,,,,,,M
632000,634000,So I will turn the camera off now.,,,,,,,I
634000,636000,Do you guys want to say bye bye?,,,,,,,I
636000,637000,Bye.,,,,,,,id15
637000,647000,Bye.,,,,,,,id16
