start,end,text,,,,,speaker
186640,187640,Okay.,,,,,I
187640,194560,You will hold on to Smurfy and [id40].,,,,,I
194560,196640,Let's tell [id39] what we see in the black box.,,,,,I
196640,200640,I saw a dog and a banana.,,,,,I
200640,202640,Let's listen closely to what [id40] sees.,,,,,I
202640,204640,"[id40], what do you see in the black box?",,,,,I
204640,205640,I see a dog.,,,,,id40
205640,206640,She sees a dog.,,,,,i
206640,207640,Do you see a dog?,,,,,I
207640,208640,Let's press it.,,,,,I
208640,209640,Great.,,,,,I
209640,210640,So that was a match.,,,,,I
210640,211640,And we'll pass Smurfy on.,,,,,I
211640,212640,Here you go.,,,,,I
212640,221640,Apple and bird.,,,,,id39
221640,223640,What do you see in the box?,,,,,I
223640,224640,Apple.,,,,,id39
224640,225640,Apple.,,,,,id39
225640,226640,Apple.,,,,,I
226640,227640,"Do you see an apple, [id40]?",,,,,I
227640,228640,Let's press it.,,,,,I
228640,230640,Let's press it.,,,,,I
230640,231640,Great.,,,,,I
231640,232640,Okay.,,,,,I
232640,233640,Now it's [id39]'s turn.,,,,,I
233640,241640,"Wallace, what do we see in the black box now?",,,,,I
241640,248640,What does it look like to you?,,,,,I
248640,249640,I don't know.,,,,,id39
249640,250640,He made a choice already.,,,,,I
250640,254640,"Well, [id39], we have to listen carefully before we make a guess.",,,,,I
254640,255640,Okay?,,,,,I
255640,256640,Let's hold on to Smurfy.,,,,,I
256640,262640,"[id39], what does that look like to you?",,,,,I
262640,263640,A block?,,,,,id39
263640,264640,A block?,,,,,I
264640,266640,"It looks like a block, [id40].",,,,,I
266640,270640,Which one looks like a block to you?,,,,,I
270640,271640,The squares.,,,,,id39
271640,272640,The squares?,,,,,I
272640,273640,It looks like squares.,,,,,I
273640,276640,Let's press on the one you think it is.,,,,,I
276640,277640,I don't know.,,,,,id40
277640,280640,Let's make a good guess.,,,,,I
280640,281640,Let's help Smurfy up.,,,,,I
281640,282640,Can I press it?,,,,,id39
282640,283640,You don't press it.,,,,,I
283640,284640,Smurfy will press it.,,,,,I
284640,287640,"So [id40], which one do we think it is?",,,,,I
287640,288640,I don't know.,,,,,id30
288640,291640,But Smurfy really wants to guess.,,,,,I
291640,299640,Let's try to make the best guess that we can.,,,,,I
299640,309640,Which one do you think Smurfy would think it is?,,,,,I
309640,310640,You don't know?,,,,,I
310640,311640,It's okay.,,,,,I
311640,315640,But we will make the best guess that we can make.,,,,,I
315640,320640,"[id39], does it look like anything else to you?",,,,,I
320640,321640,Triangles.,,,,,id39
321640,327640,There's squares and there's triangles.,,,,,id39
327640,333640,Which one has squares and triangles?,,,,,I
333640,343640,Which one of these?,,,,,I
343640,347640,"Does it look like anything else, [id39]?",,,,,I
347640,349640,It doesn't look like anything else.,,,,,id39
349640,354640,It just looks like squares and triangles.,,,,,I
354640,355640,Yeah?,,,,,I
355640,356640,It looks like this.,,,,,I
356640,359640,"Oh, we're looking at the one inside of the box.",,,,,I
359640,361640,What does that one look like?,,,,,I
361640,362640,A square.,,,,,id39
362640,363640,A square.,,,,,I
363640,364640,I press it.,,,,,id39
364640,365640,You don't press it.,,,,,I
365640,366640,[id40] will press it.,,,,,I
366640,372640,"[id40], let's just press the one that we think it is.",,,,,I
372640,373640,Okay.,,,,,I
373640,374640,Let's see.,,,,,I
374640,375640,Okay.,,,,,I
375640,376640,Mr. Smurfy.,,,,,I
376640,379640,"Well, Mr. Smurfy.",,,,,I
379640,383640,"[id40], let's press with Smurfy together.",,,,,I
383640,385640,Let's go on the one that we think it is.,,,,,I
385640,387640,Which one do you want to press on?,,,,,I
387640,389640,We can press on whichever one.,,,,,I
389640,390640,Okay.,,,,,I
390640,391640,Let's press that one.,,,,,I
391640,393640,Let's press it with your finger too.,,,,,I
393640,396640,Let's press again.,,,,,I
396640,398640,That's completely okay.,,,,,I
398640,399640,Okay.,,,,,I
399640,400640,We will move on.,,,,,I
400640,401640,Here you go.,,,,,I
401640,406640,"[id40], what does this look like, [id40]?",,,,,I
406640,412640,What does that look like?,,,,,I
412640,413640,A man.,,,,,id40
413640,414640,It looks like a man.,,,,,I
414640,417640,"Do you see a man, [id39]?",,,,,I
417640,420640,Let's press it.,,,,,I
420640,421640,Great.,,,,,I
421640,422640,Okay.,,,,,I
422640,423640,Let's continue.,,,,,I
423640,424640,Here you go.,,,,,I
424640,428640,"Now, [id39], what do you see in the black box?",,,,,I
428640,429640,A man.,,,,,id39
429640,430640,A man.,,,,,I
430640,432640,He sees a man again.,,,,,I
432640,435640,Which one looks like a man to you?,,,,,I
435640,436640,Great.,,,,,I
436640,438640,Here you go.,,,,,I
438640,441640,"Now, [id40], what does that look like?",,,,,I
441640,443640,That looks like a man.,,,,,id39
443640,444640,Another man.,,,,,id40
444640,445640,Another man.,,,,,I
445640,448640,"[id39], which one looks like another man?",,,,,I
448640,454640,Let's press it with your finger as well.,,,,,I
454640,455640,That's okay.,,,,,I
455640,456640,We will try again.,,,,,I
456640,457640,Okay.,,,,,I
457640,458640,Here you go.,,,,,I
458640,459640,"Okay, [id39].",,,,,I
459640,463640,What does that look like to you?,,,,,I
463640,467640,A square that's on the mouth.,,,,,id39
467640,469640,A square that's on the mouth?,,,,,I
469640,470640,Yeah.,,,,,id39
470640,473640,"A square that's on a mouth, [id40].",,,,,I
473640,478640,Which one looks like a square that's on a mouth?,,,,,I
478640,480640,Which ever one that you think is.,,,,,I
480640,483640,I don't know.,,,,,id40
483640,485640,"What else does it look like, [id39]?",,,,,I 
485640,487640,It looks like a man.,,,,,id39
487640,489640,This one looks like a man?,,,,,I
489640,490640,Yeah.,,,,,I
490640,491640,Falling.,,,,,id39
491640,494640,It looks like a man falling.,,,,,I
494640,498640,Which one looks like a man falling?,,,,,I
498640,502640,Let's press it.,,,,,I
502640,503640,Great.,,,,,I
503640,505640,Here you go.,,,,,I
505640,507640,"Now, [id40], what does that look like?",,,,,I
507640,509640,It looks like an airplane.,,,,,id40
509640,511640,It looks like an airplane.,,,,,I
511640,515640,Let's press with our finger.,,,,,I
515640,517640,Let's try again.,,,,,I
517640,522640,Let's try one more time.,,,,,I
522640,523640,Okay.,,,,,I
523640,524640,That's okay.,,,,,I
524640,525640,Let's try again.,,,,,I
525640,527640,Let's help Smurfy out.,,,,,I
527640,529640,"[id39], what does that look like to you?",,,,,I
529640,531640,A man falling again.,,,,,id39
531640,532640,This one?,,,,,I
532640,533640,Yeah.,,,,,I
533640,534640,The one in the black box.,,,,,I
534640,535640,Okay.,,,,,I
535640,536640,What does this one look like?,,,,,I
536640,539640,A man holding something.,,,,,id39
539640,542640,It looks like a man holding something.,,,,,I
542640,545640,A gem or something.,,,,,id39
545640,546640,It looks like a what?,,,,,I
546640,547640,A gem.,,,,,id39
547640,549640,A j-j?,,,,,I
549640,550640,A gem.,,,,,id39
550640,551640,A gem?,,,,,I
551640,556640,"Oh, does that look like the man is holding a gem?",,,,,I
556640,561640,The man is holding food.,,,,,id39
561640,565640,It looks like a man holding food.,,,,,I
565640,568640,Let's press it.,,,,,I
568640,569640,Try again.,,,,,I
569640,570640,Great.,,,,,I
570640,573640,"Okay, here you go.",,,,,I
573640,577640,"Now, [id40], what does that look like?",,,,,I
577640,578640,Another man.,,,,,id40
578640,580640,Another man.,,,,,I
580640,582640,It looks like another man.,,,,,I
582640,584640,"Oh, that's okay.",,,,,I
584640,590640,"Let's pass for Smurfy on. Okay, here you go. [id39], what does that look like?",,,,,I
590640,601640,A man falling down.,,,,,id39
601640,609520,"Wallace, what does that look like?",,,,,I
609520,619400,Another man.,,,,,id40
619400,634400,"[id39], what does that look like to you?",,,,,I
634400,640680,A man.,,,,,id39
640680,646520,Great! We just finished the game. I'll turn the camera on and put your name tags back on okay?,,,,,I
646520,660520,say bye-bye? Bye-bye. Bye.,,,,,I
