start,end,text,,,,,,,speaker
316000,318000,Somebody jumping.,,,,,,,I
320000,321000,Great.,,,,,,,I
326000,328000,What does that look like to you?,,,,,,,I
328000,329000,A person walking.,,,,,,,id48
337000,339000,"My friends, we are done with the game.",,,,,,,I
339000,341000,Thank you guys so much for guessing,,,,,,,I
341000,343000,and for helping Smurfy out.,,,,,,,I
343000,345000,I will turn the camera off now.,,,,,,,I
345000,347000,Do you guys want to wave bye-bye to Smurfy?,,,,,,,I
347000,348000,"Bye, Smurfy.",,,,,,,id48
348000,349000,Bye-bye.,,,,,,,I
349000,359000,"Bye-bye, my friends.",,,,,,,I
