start,end,text,,,,,speaker
201000,203000,"[id35], what do we see now?",,,,,I
203000,205000,A person walking.,,,,,id35
205000,208000,A person walking.,,,,,I
208000,210000,Let's try again.,,,,,I
210000,212000,Great!,,,,,I
212000,214000,"Okay, here you go.",,,,,I
214000,216000,"Now, what do we see, [id36]?",,,,,I
216000,219000,"Uh, a person.",,,,,id36
219000,220000,Do we see a person?,,,,,I
220000,221000,Yeah.,,,,,id35
221000,224000,"But, the black box right this one.",,,,,id36
224000,225000,Yeah.,,,,,I
225000,227000,This way.,,,,,id36
227000,229000,"What does it look like, a person?",,,,,I
229000,231000,"Yeah, but this way.",,,,,id36
231000,233000,"It looks like a person, [id35].",,,,,I
233000,234000,Do you see a person?,,,,,I
234000,235000,Like this way.,,,,,id36
235000,238000,"Well, she, it's not the same for you guys.",,,,,I
238000,243000,"So, you have to tell her how this person looks like.",,,,,I
243000,244000,We can't show her.,,,,,I
244000,247000,Let's use our words.,,,,,I
247000,249000,That's it.,,,,,I
249000,251000,"So, does it look like a person to you, [id36]?",,,,,I
251000,252000,Yeah.,,,,,I
252000,253000,Okay.,,,,,I
253000,255000,"[id35], [id36] says that he sees a person.",,,,,I
255000,257000,Do you see a person on your screen?,,,,,I
257000,259000,"Yes, this.",,,,,id35
259000,262000,Let's tap it.,,,,,I
262000,265000,Let's try again.,,,,,I
265000,266000,Let's try again.,,,,,I
266000,267000,A little light tap.,,,,,I
267000,269000,Go.,,,,,I
269000,271000,That's okay.,,,,,I
271000,273000,"No, that's actually this way.",,,,,id36
273000,274000,Yeah.,,,,,I
274000,275000,"Well, let's try again.",,,,,I
275000,276000,Okay.,,,,,I
276000,278000,"[id35], what do we see now?",,,,,I
278000,280000,A person dancing.,,,,,id35
280000,282000,A person dancing.,,,,,I
282000,283000,Is it this way?,,,,,id36
283000,286000,"If you think that's your match, just tap it.",,,,,I
286000,287000,Yay.,,,,,I
287000,290000,"Here you go, [id35].",,,,,I
290000,292000,"Now, what do we see in the black box?",,,,,I
292000,293000,This.,,,,,id36
293000,295000,What does it look like to you?,,,,,I
295000,296000,A car.,,,,,id36
296000,299000,It looks like a car.,,,,,I
299000,303000,"Do you see a car, [id35]?",,,,,I
303000,305000,Let's try again.,,,,,I
305000,307000,Great.,,,,,I
307000,308000,That's faster.,,,,,I
308000,309000,You got it.,,,,,id36
309000,310000,Yeah.,,,,,I
310000,314000,"Okay, now what do we see, [id35]?",,,,,I
314000,316000,A person.,,,,,id35
316000,317000,We see a person.,,,,,I
317000,318000,Do you see a person?,,,,,I
318000,319000,Yeah.,,,,,id36
319000,321000,Let's press it.,,,,,I
321000,323000,With Smurfy?,,,,,I
323000,326000,That's so silly.,,,,,I
326000,328000,That's okay.,,,,,I
328000,331000,"I thought it was this one, but it wasn't working.",,,,,id36
331000,332000,Let's try again.,,,,,I
332000,333000,Okay.,,,,,I
333000,335000,I see a person walking.,,,,,id36
335000,339000,A person walking.,,,,,I
339000,341000,Let's try again.,,,,,I
341000,343000,Let's try one more time.,,,,,I
343000,346000,Let's try one more time.,,,,,I
346000,348000,Another time.,,,,,I
348000,350000,That's so silly.,,,,,I
350000,351000,Let's press lightly.,,,,,I
351000,353000,Press lightly on the screen.,,,,,I
353000,354000,We don't have to drag.,,,,,I
354000,356000,"Okay, just press.",,,,,I
356000,358000,Try again.,,,,,I
358000,359000,Let's press together.,,,,,I
359000,360000,Ready?,,,,,I
360000,361000,"Okay, let's go.",,,,,I
361000,363000,Tap.,,,,,I
363000,364000,Great.,,,,,I
364000,367000,"Okay, let's pass Smurfy on.",,,,,I
367000,368000,Here you go.,,,,,I
368000,371000,"Now, [id35], what do we see in the black box?",,,,,I
371000,373000,A person dancing.,,,,,id35
373000,376000,A person dancing.,,,,,I
376000,378000,"Great, my friends.",,,,,I
378000,380000,Let's go on.,,,,,I
380000,382000,"[id36], what do you see in the black box?",,,,,I
382000,383000,A car.,,,,,id36
383000,384000,Again.,,,,,id36
384000,385000,A car.,,,,,I
385000,386000,Again.,,,,,I
386000,388000,You got this.,,,,,I
388000,389000,Let's try again.,,,,,I
389000,390000,Lightly.,,,,,I
390000,392000,"One light press, go.",,,,,I
392000,394000,Go again.,,,,,I
394000,396000,Let's press lightly.,,,,,I
396000,398000,Let's try.,,,,,I
398000,399000,Great.,,,,,I
399000,402000,Here you go.,,,,,I
402000,405000,"Now, what do we see, [id35]?",,,,,I
405000,407000,A person walking.,,,,,id35
407000,408000,A person walking.,,,,,I
408000,409000,Yay!,,,,,I
409000,410000,Yay!,,,,,I
410000,412000,Thank you.,,,,,I
412000,414000,"Now, what do we see, [id36]?",,,,,I
414000,417000,A person holding a pot.,,,,,id36
417000,420000,A person holding a pot.,,,,,I
420000,421000,Let's try again.,,,,,I
421000,422000,You got this.,,,,,I
422000,424000,Come on.,,,,,I
424000,426000,Great.,,,,,I
426000,427000,Okay.,,,,,I
427000,429000,Here you go.,,,,,I
429000,432000,"Well, thank you guys so much for playing my game.",,,,,I
432000,434000,And thank you guys so much for helping Smurfy.,,,,,I
434000,436000,Thank you guys so much.,,,,,I
436000,437000,Again.,,,,,id36
437000,438000,You want to play it again.,,,,,I
438000,441000,Let me turn the camera off first.,,,,,I
441000,443000,Do you guys want to wave bye bye?,,,,,I
443000,445000,I did that part.,,,,,I
445000,455000,Bye bye.,,,,,id35
